Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22-1979-estInitF-v2
Catch_like,0.000587356,2.94224e-05,5.81967e-05,6.74003e-05,6.7912e-06,3.46199e-05,7.00227e-05,6.38198e-05,5.10523e-05,1.54834e-05,5.29401e-05,2.94224e-05,2.71351e-05,4.432e-05,3.67301e-05,0,22-1979-estInitF-v2
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22-1979-estInitF-v2
Init_equ_like,0.0623807,0,0.0623807,0,0,0,0,0,0,0,0,0,0,0,0,0,22-1979-estInitF-v2
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22-1979-estInitF-v2
Surv_like,-29.5129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.5129,22-1979-estInitF-v2
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,22-1979-estInitF-v2
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22-1979-estInitF-v2
Length_lambda,,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,22-1979-estInitF-v2
Length_like,554.753,7.77268,29.8143,14.5087,0,5.84327,43.3412,67.1438,0.695882,0,21.2702,148.52,168.155,2.74715,40.9282,4.01312,22-1979-estInitF-v2
Length_N_use,,25,16,23,0,17,42,44,1,0,20,84,113,2,50,23,22-1979-estInitF-v2
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22-1979-estInitF-v2
SizeFreq_lambda:_1,,1,1,1,,,1,1,,1,1,,,,,1,22-1979-estInitF-v2
SizeFreq_like:_1,846.235,1.19844,114.095,35.895,,,389.434,205.183,,58.1901,33.8807,,,,,8.35792,22-1979-estInitF-v2
