fleet,fleetname,type,area,units,selex,mirror,catch_start,catch_end,catch_kn,catch_mt,index_start,index_end,lencomp_start,lencomp_end,lencomp_nsamp,wcomp_start,wcomp_end,wcomp_nsamp
1,F01_LL.JP.1,1,1,2,24,0,1979,2022,0.419236180333333,25.7349803611111,,,1993,2019,99.5798077,1979,1989,10.28911
2,F02_LL.JP.2,1,1,2,24,0,-999,2022,1.07208170343333,95.9390307672222,,,1991,2020,431.66328,1979,1994,7735.61477
3,F03_LL.JP.3,1,1,2,24,0,1979,2022,0.502928853111111,43.56061005,,,1991,2020,313.42835,1979,1998,973.76047
4,F04_LL.JP.4,1,1,2,24,0,1979,2022,0.0147332709611111,0.924497858333333,,,,,,,,
5,F05_LL.TW.4,1,1,2,5,4,1979,2022,0.197581991116667,12.5012788255556,,,2006,2022,125.335637,,,
6,F06_LL.AU.2,1,1,2,24,0,1987,2022,0.497184195611111,37.5934959833333,,,1992,2014,1290.26521,1997,2022,36337.7567
7,F07_LL.AU.3,1,1,2,24,0,1987,2022,0.2675198085,21.2169762833333,,,1991,2015,1298.198227,1998,2022,9545.0276
8,F08_LL.NZ.3,1,1,2,5,7,1990,2022,0.0785493036111112,6.19357836388889,,,2005,2005,20.4811,,,
9,F09.REC.AU.3,1,1,2,24,0,1979,2022,0.0115499072222222,1.08149142777778,,,,,,1986,2010,1805
10,F10_REC.NZ.3,1,1,2,1,0,1979,2022,0.141936544444444,14.6058422222222,,,1985,2018,1157,1979,2011,8815
11,F11_LL.ALL.1,1,1,2,5,1,1979,2022,1.86655447222222,116.719078888889,,,1998,2022,6779.901165,,,
12,F12_LL.ALL.2,1,1,2,24,0,1979,2022,0.877594602222222,57.4825182222222,,,1994,2022,14834.99467,,,
13,F13_LL.ALL.3,1,1,2,5,3,1979,2022,0.0490272713666667,4.22766806444444,,,2011,2015,22.34666,,,
14,F14_LL.ALL.4,1,1,2,5,4,1979,2022,0.669545306666667,42.1625224722222,,,2002,2022,683.436303,,,
15,S01_INDEX.1-4,3,1,2,24,0,,,,,1979,2022,1991,2022,177.227724,1979,1998,299.050912
