id,number,name,tag,n_warn,par_status,par_afterbound,nfleets,startyr,endyr,n_seasons,ss_version,n_par_active,n_par_active_nd,n_par_total,log_det_hessian,mgc,nll,Catch,Equil_catch,Survey,Length_comp,SizeFreq,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,ltrend,runs,ar,sdr,sigmaR,steepness,M_m,L0_m,Linf_m,k_m,M_f,L0_f,Linf_f,k_f,F_2016,F_2022,SSB_virgin,SSB_Initial,SSB_2016,SSB_2022,MSY,SSB_MSY,F_MSY,B_Bmsy_2016,B_Bmsy_2022,F_Fmsy_2016,F_Fmsy_2022,R_virgin,R_initial,dep_st,dep_dyn_2016,dep_dyn_2022,mohns_rho_ssb,mohns_rho_f,average_xval_cpue_mase,average_xval_len_mase,Age_comp
00-workflow-test,0,workflow-test,test,8,0.846,1,15,1952,2022,4,3.3,121,39,198,,0,"1,451.6",0.004,0,-16.132,553.227,914.775,-0.319,0,0.011,0,0.034,0,0,0.222,0,0,0.185,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,1.942,1.274,11303,11303,744.288,839.353,"1,943.3","2,560.94",0.678,0.291,0.328,1.942,1.274,121.623,121.623,0.101,0.081,0.086,,,,,
01-mls-base-1979,1,mls-base-1979,,8,0.775,0.85,15,1979,2022,4,3.3,95,40,178,,0,"34,595.2",0,44.315,131.205,"14,032.1","19,930.4",397.165,0,59.989,0,0.086,0,0,0.385,0.003,0,0.806,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,0.138,0.327,"26,966.1","18,670.4","23,230.9","13,198.9","3,990.29","6,266.75",0.491,3.707,2.106,0.138,0.327,290.16,282.32,0.429,0.769,0.705,,,,,
02-mls-ss3-1979,2,mls-ss3-1979,,8,0.872,0.923,15,1979,2022,4,3.3,94,39,174,,0,"1,743.87",0,93.391,-36.244,536.606,"1,113.85",36.152,0,0.046,0,0.069,0,0,0.695,0.004,0,0.264,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,0.094,0.065,"40,279.9",32796,"26,445.1","35,134.7","6,088.12","8,808.36",0.808,3.002,3.989,0.094,0.065,433.42,427.325,0.982,0.797,0.862,,,,,
03-chg-selex-1979,3,chg-selex-1979,,7,0.949,1,15,1979,2022,4,3.3,94,39,174,,0,"1,417.15",0,0.585,-33.489,545.55,883.516,20.924,0,0.039,0,0.028,0,0,0.565,0.004,0,0.233,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,0.205,0.126,"22,530.7",14063,"11,178.3","16,249.7","3,467.43","4,957.26",0.745,2.255,3.278,0.205,0.126,242.435,233.642,0.837,0.62,0.737,,,,,
04-start-1952,4,start-1952,1952,8,0.846,1,15,1952,2022,4,3.3,121,39,198,,0,"1,451.6",0.004,0,-16.132,553.227,914.775,-0.319,0,0.011,0,0.034,0,0,0.222,0,0,0.185,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,1.942,1.274,11303,11303,744.288,839.353,"1,943.3","2,560.94",0.678,0.291,0.328,1.942,1.274,121.623,121.623,0.101,0.081,0.086,,,,,
05-exclude-bad-comp,5,exclude-bad-comp,,10,0.857,1,15,1952,2022,4,3.3,117,35,194,,0,988.205,0.015,0,-17.236,159.074,848.181,-1.876,0,0.021,0,0.025,0,0,0.181,0,0,0.18,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,1.569,1.017,"11,264.2","11,264.2","1,011.75","1,184.29","1,926.53","2,564.09",0.802,0.395,0.462,1.569,1.017,121.205,121.205,0.143,0.108,0.128,,,,,
06-exclude-more-comp,6,exclude-more-comp,,10,0.829,1,15,1952,2022,4,3.3,117,35,194,,0,945.137,0.012,0,-16.975,127.86,836.134,-1.944,0,0.022,0,0.029,0,0,0.159,0,0,0.18,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,1.441,0.9,"11,260.8","11,260.8","1,115.46","1,364.1","1,915.61","2,556.07",0.797,0.436,0.534,1.441,0.9,121.169,121.169,0.166,0.12,0.148,,,,,
07-catch-uncertainty,7,catch-uncertainty,uncertainty,184,0.216,0.986,16,1952,2022,4,3.3,221,139,2605,,0,938.389,0.867,0,-28.032,127.047,842.638,-4.18,0,0.023,0,0.026,0,0,0.216,0,0,0.173,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,1.347,0.766,11159,11159,"1,189.45","1,629.12","1,889.15","2,534.7",0.791,0.469,0.643,1.347,0.766,120.073,120.073,0.201,0.127,0.174,,,,,
08-relax-growth,8,relax-growth,growth,115,0.223,0.993,16,1952,2022,4,3.3,221,139,2605,,0,964.952,1.696,0,-28.113,113.733,885.742,-8.231,0,0.094,0,0.031,0,0,0.014,0.05,0.512,0.159,0.2,0.8,,,,0.835,0.36,59.9,210.992,0.835,2.646,2.398,"13,645.4","13,645.4",429.09,455.492,"2,702.77","2,953.39",0.941,0.145,0.154,2.646,2.398,135.238,135.238,0.039,0.031,0.033,,,,,
09-relax-growth-v2,9,relax-growth-v2,,121,0.23,0.993,16,1952,2022,4,3.3,221,139,2605,,0,967.708,1.75,0,-28.474,110.351,896.612,-12.561,0,0,0,0.03,0,0,0.227,0.175,0.139,0.143,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,2.349,1.989,"13,087.2","13,087.2",481.307,538.088,"2,476.8","2,815.14",1.006,0.171,0.191,2.349,1.989,129.699,129.699,0.049,0.038,0.042,,,,,
