id,Label,values,lambdas
01-mls-base-1979,TOTAL,34595.2,
01-mls-base-1979,Catch,2.61486e-05,
01-mls-base-1979,Equil_catch,44.3151,
01-mls-base-1979,Survey,131.205,
01-mls-base-1979,Length_comp,14032.1,
01-mls-base-1979,SizeFreq,19930.4,
01-mls-base-1979,Recruitment,397.165,1
01-mls-base-1979,InitEQ_Regime,0,1
01-mls-base-1979,Forecast_Recruitment,59.989,1
01-mls-base-1979,Parm_priors,0,1
01-mls-base-1979,Parm_softbounds,0.0861487,
01-mls-base-1979,Parm_devs,0,1
01-mls-base-1979,Crash_Pen,0,1
