"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 26966.1 268.902 NA NA
"SSB_Initial" "SSB_Initial" 18670.4 259.105 NA NA
"SSB_1979" "SSB_1979" 56594.2 4557.56 NA NA
"SSB_1980" "SSB_1980" 53615.4 3825.64 NA NA
"SSB_1981" "SSB_1981" 50241 3160.38 NA NA
"SSB_1982" "SSB_1982" 47911.6 2704.17 NA NA
"SSB_1983" "SSB_1983" 41258.9 2242.24 NA NA
"SSB_1984" "SSB_1984" 34883 1751.75 NA NA
"SSB_1985" "SSB_1985" 29861.3 1352.31 NA NA
"SSB_1986" "SSB_1986" 23433 1050.59 NA NA
"SSB_1987" "SSB_1987" 18498.3 819.761 NA NA
"SSB_1988" "SSB_1988" 14537.8 664.74 NA NA
"SSB_1989" "SSB_1989" 16507.1 881.145 NA NA
"SSB_1990" "SSB_1990" 26591.9 1355.88 NA NA
"SSB_1991" "SSB_1991" 28313.8 1556.52 NA NA
"SSB_1992" "SSB_1992" 26814.6 1397.74 NA NA
"SSB_1993" "SSB_1993" 25854.2 1309.03 NA NA
"SSB_1994" "SSB_1994" 30483.9 1564.93 NA NA
"SSB_1995" "SSB_1995" 35276 1778.21 NA NA
"SSB_1996" "SSB_1996" 39506.2 1929.48 NA NA
"SSB_1997" "SSB_1997" 40167.7 1859 NA NA
"SSB_1998" "SSB_1998" 87247.1 2819.67 NA NA
"SSB_1999" "SSB_1999" 122213 3805.49 NA NA
"SSB_2000" "SSB_2000" 122759 3665.25 NA NA
"SSB_2001" "SSB_2001" 108268 3134.17 NA NA
"SSB_2002" "SSB_2002" 86476.2 2476.13 NA NA
"SSB_2003" "SSB_2003" 65469.3 1890.33 NA NA
"SSB_2004" "SSB_2004" 47898.3 1435.81 NA NA
"SSB_2005" "SSB_2005" 34111.1 1069.05 NA NA
"SSB_2006" "SSB_2006" 27416.6 838.12 NA NA
"SSB_2007" "SSB_2007" 25697.6 756.723 NA NA
"SSB_2008" "SSB_2008" 26459.2 762.255 NA NA
"SSB_2009" "SSB_2009" 24388.1 723.238 NA NA
"SSB_2010" "SSB_2010" 21525.5 643.664 NA NA
"SSB_2011" "SSB_2011" 18944.6 577.704 NA NA
"SSB_2012" "SSB_2012" 17025 532.499 NA NA
"SSB_2013" "SSB_2013" 15797.2 513.353 NA NA
