id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
22-1979-estInitF-v2,SR_LN(R0),4.8838,0,1,2,15,4.8838,OK,OK
22-1979-estInitF-v2,InitF_seas_1_flt_2F02_LL.JP.2,0.842069,0,5,0,5,0.842069,OK,OK
22-1979-estInitF-v2,InitF_seas_2_flt_2F02_LL.JP.2,0.845645,0,5,0,5,0.845645,OK,OK
22-1979-estInitF-v2,InitF_seas_3_flt_2F02_LL.JP.2,0.806931,0,5,0,5,0.806931,OK,OK
22-1979-estInitF-v2,InitF_seas_4_flt_2F02_LL.JP.2,0.803096,0,5,0,5,0.803096,OK,OK
22-1979-estInitF-v2,Size_DblN_peak_F01_LL.JP.1(1),178.259,0,2,45,325,178.259,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F01_LL.JP.1(1),7.28607,0,4,-10,10,7.28607,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F01_LL.JP.1(1),4.6552,0,5,-10,10,4.6552,OK,OK
22-1979-estInitF-v2,Size_DblN_end_logit_F01_LL.JP.1(1),-0.0531635,0,3,-999,9,-0.0531635,HI,OK
22-1979-estInitF-v2,Size_DblN_peak_F02_LL.JP.2(2),193.573,0,2,45,325,193.573,OK,OK
22-1979-estInitF-v2,Size_DblN_top_logit_F02_LL.JP.2(2),0.147493,0,3,-10,10,0.147493,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F02_LL.JP.2(2),5.77144,0,4,-10,10,5.77144,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F02_LL.JP.2(2),0.00162278,0,5,-10,10,0.00162278,OK,OK
22-1979-estInitF-v2,Size_DblN_peak_F03_LL.JP.3(3),196.873,0,2,45,325,196.873,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F03_LL.JP.3(3),6.26744,0,4,-10,10,6.26744,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F03_LL.JP.3(3),1.97608,0,5,-10,10,1.97608,OK,OK
22-1979-estInitF-v2,Size_DblN_end_logit_F03_LL.JP.3(3),0.81539,0,3,-999,9,0.81539,HI,OK
22-1979-estInitF-v2,Size_DblN_peak_F04_LL.JP.4(4),183.359,0,2,45,325,183.359,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F04_LL.JP.4(4),7.25997,0,4,-10,10,7.25997,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F04_LL.JP.4(4),4.41808,0,5,-10,10,4.41808,OK,OK
22-1979-estInitF-v2,Size_DblN_end_logit_F04_LL.JP.4(4),-0.640948,0,3,-999,9,-0.640948,HI,OK
22-1979-estInitF-v2,Size_DblN_peak_F06_LL.AU.2(6),184.564,0,2,45,325,184.564,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F06_LL.AU.2(6),5.72727,0,4,-10,10,5.72727,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F06_LL.AU.2(6),5.29892,0,5,-10,10,5.29892,OK,OK
22-1979-estInitF-v2,Size_DblN_end_logit_F06_LL.AU.2(6),-1.48824,0,3,-999,9,-1.48824,OK,OK
22-1979-estInitF-v2,Size_DblN_peak_F07_LL.AU.3(7),189.953,0,2,45,325,189.953,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F07_LL.AU.3(7),6.09096,0,4,-10,10,6.09096,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F07_LL.AU.3(7),4.94116,0,5,-10,10,4.94116,OK,OK
22-1979-estInitF-v2,Size_DblN_end_logit_F07_LL.AU.3(7),-0.872484,0,3,-999,9,-0.872484,HI,OK
22-1979-estInitF-v2,Size_DblN_peak_F09.REC.AU.3(9),191.018,0,2,45,325,191.018,OK,OK
22-1979-estInitF-v2,Size_DblN_top_logit_F09.REC.AU.3(9),-0.866277,0,3,-10,10,-0.866277,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F09.REC.AU.3(9),5.33097,0,4,-10,10,5.33097,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F09.REC.AU.3(9),-1.9373,0,5,-10,10,-1.9373,OK,OK
22-1979-estInitF-v2,Size_inflection_F10_REC.NZ.3(10),195.493,0,2,45,325,195.493,OK,OK
22-1979-estInitF-v2,Size_95%width_F10_REC.NZ.3(10),21.8019,0,3,0,500,21.8019,OK,OK
22-1979-estInitF-v2,Size_DblN_peak_F12_LL.ALL.2(12),182.712,0,2,45,325,182.712,OK,OK
22-1979-estInitF-v2,Size_DblN_top_logit_F12_LL.ALL.2(12),-9.7099,0,3,-10,10,-9.7099,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_F12_LL.ALL.2(12),7.34959,0,4,-10,10,7.34959,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_F12_LL.ALL.2(12),6.99102,0,5,-10,10,6.99102,OK,OK
22-1979-estInitF-v2,Size_DblN_peak_S01_INDEX.1-4(15),170.519,0,2,45,325,170.519,OK,OK
22-1979-estInitF-v2,Size_DblN_top_logit_S01_INDEX.1-4(15),0.3918,0,3,-10,10,0.3918,OK,OK
22-1979-estInitF-v2,Size_DblN_ascend_se_S01_INDEX.1-4(15),6.41149,0,4,-10,10,6.41149,OK,OK
22-1979-estInitF-v2,Size_DblN_descend_se_S01_INDEX.1-4(15),0.00200482,0,5,-10,10,0.00200482,OK,OK
