id,like_comp,fleet,phase,value,sizefreq_method
22-1979-estInitF-v2,1,15,1,1,1
22-1979-estInitF-v2,4,1,1,1,0
22-1979-estInitF-v2,4,2,1,1,0
22-1979-estInitF-v2,4,3,1,1,0
22-1979-estInitF-v2,4,5,1,1,0
22-1979-estInitF-v2,4,6,1,1,0
22-1979-estInitF-v2,4,7,1,1,0
22-1979-estInitF-v2,4,8,1,1,0
22-1979-estInitF-v2,4,10,1,1,0
22-1979-estInitF-v2,4,11,1,1,0
22-1979-estInitF-v2,4,12,1,1,0
22-1979-estInitF-v2,4,13,1,1,0
22-1979-estInitF-v2,4,14,1,1,0
22-1979-estInitF-v2,4,15,1,1,0
22-1979-estInitF-v2,6,2,1,1,1
22-1979-estInitF-v2,6,10,1,1,1
22-1979-estInitF-v2,6,1,1,1,1
22-1979-estInitF-v2,6,3,1,1,1
22-1979-estInitF-v2,6,15,1,1,1
22-1979-estInitF-v2,6,9,1,1,1
22-1979-estInitF-v2,6,6,1,1,1
22-1979-estInitF-v2,6,7,1,1,1
