Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18-CAAL-cUnc-cv40
Catch_like,1.3891,0.000203588,0.000404945,0.000879602,0.000237489,0.000157011,0.000192041,0.000237022,0.000187891,0.000187022,0.00177249,8.14281e-05,0.000682837,0.00032124,8.56393e-05,1.38347,0,18-CAAL-cUnc-cv40
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18-CAAL-cUnc-cv40
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18-CAAL-cUnc-cv40
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18-CAAL-cUnc-cv40
Surv_like,-28.5947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.5947,18-CAAL-cUnc-cv40
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18-CAAL-cUnc-cv40
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18-CAAL-cUnc-cv40
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,18-CAAL-cUnc-cv40
Length_like,107.699,0,0,14.0641,0,6.29842,0,0,0,0,20.1021,39.833,0,0,27.401,0,0,18-CAAL-cUnc-cv40
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,18-CAAL-cUnc-cv40
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18-CAAL-cUnc-cv40
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,18-CAAL-cUnc-cv40
Age_like,0.107909,0,0,0,0,0,0,0,0,0.0342425,0.0475576,0,0.0261093,0,0,0,0,18-CAAL-cUnc-cv40
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,18-CAAL-cUnc-cv40
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18-CAAL-cUnc-cv40
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,18-CAAL-cUnc-cv40
SizeFreq_like:_1,754.594,,85.8955,33.0105,,,333.083,186.49,,54.8675,53.7081,,,,,,7.53953,18-CAAL-cUnc-cv40
