"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_1977" "Recr_1977" 120.71 21.3683 NA NA
"Recr_1978" "Recr_1978" 147.888 21.9758 NA NA
"Recr_1979" "Recr_1979" 140.184 21.7197 NA NA
"Recr_1980" "Recr_1980" 147.967 18.629 NA NA
"Recr_1981" "Recr_1981" 104.041 15.9946 NA NA
"Recr_1982" "Recr_1982" 119.779 16.9929 NA NA
"Recr_1983" "Recr_1983" 96.3408 14.4118 NA NA
"Recr_1984" "Recr_1984" 97.1776 12.9782 NA NA
"Recr_1985" "Recr_1985" 75.3162 12.0833 NA NA
"Recr_1986" "Recr_1986" 100.151 19.0847 NA NA
"Recr_1987" "Recr_1987" 163.62 22.3242 NA NA
"Recr_1988" "Recr_1988" 113.693 18.5018 NA NA
"Recr_1989" "Recr_1989" 98.4769 16.7836 NA NA
"Recr_1990" "Recr_1990" 95.831 17.9891 NA NA
"Recr_1991" "Recr_1991" 115.118 22.3168 NA NA
"Recr_1992" "Recr_1992" 142.62 25.1559 NA NA
"Recr_1993" "Recr_1993" 144.956 24.5448 NA NA
"Recr_1994" "Recr_1994" 125.504 20.9757 NA NA
"Recr_1995" "Recr_1995" 116.001 20.7122 NA NA
"Recr_1996" "Recr_1996" 238.157 24.9877 NA NA
"Recr_1997" "Recr_1997" 136.192 17.0212 NA NA
"Recr_1998" "Recr_1998" 190.651 21.8099 NA NA
"Recr_1999" "Recr_1999" 169.506 15.0664 NA NA
"Recr_2000" "Recr_2000" 86.1918 11.0898 NA NA
"Recr_2001" "Recr_2001" 178.536 17.6996 NA NA
"Recr_2002" "Recr_2002" 112.37 15.5657 NA NA
"Recr_2003" "Recr_2003" 123.659 18.2505 NA NA
"Recr_2004" "Recr_2004" 119.573 18.0184 NA NA
"Recr_2005" "Recr_2005" 94.1228 15.3381 NA NA
"Recr_2006" "Recr_2006" 116.459 18.8884 NA NA
"Recr_2007" "Recr_2007" 114.657 17.9008 NA NA
"Recr_2008" "Recr_2008" 105.467 15.3023 NA NA
"Recr_2009" "Recr_2009" 96.0692 14.1005 NA NA
"Recr_2010" "Recr_2010" 93.6896 12.7477 NA NA
"Recr_2011" "Recr_2011" 89.8519 11.9208 NA NA
"Recr_2012" "Recr_2012" 82.8978 10.6634 NA NA
"Recr_2013" "Recr_2013" 98.6097 10.1262 NA NA
"Recr_2014" "Recr_2014" 78.3524 8.60208 NA NA
"Recr_2015" "Recr_2015" 81.3969 9.69722 NA NA
"Recr_2016" "Recr_2016" 82.6287 9.72196 NA NA
"Recr_2017" "Recr_2017" 80.6364 8.72148 NA NA
"Recr_2018" "Recr_2018" 66.9442 8.84602 NA NA
"Recr_2019" "Recr_2019" 92.565 15.1783 NA NA
"Recr_2020" "Recr_2020" 129.786 26.1664 NA NA
"Recr_2021" "Recr_2021" 98.0122 21.7598 NA NA
"Recr_2022" "Recr_2022" 105.277 25.3901 NA NA
"Recr_2023" "Recr_2023" 115.97 26.7456 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0226462 0.00166279 -587.78 0
"SPRratio_1953" "SPRratio_1953" 0.421823 0.0233092 -24.8047 4.41379e-136
"SPRratio_1954" "SPRratio_1954" 1.07 0.0598509 1.16949 0.878897
"SPRratio_1955" "SPRratio_1955" 0.934725 0.0709485 -0.920027 0.178779
"SPRratio_1956" "SPRratio_1956" 0.879309 0.075014 -1.60892 0.0538172
"SPRratio_1957" "SPRratio_1957" 0.841507 0.0818168 -1.93717 0.0263621
"SPRratio_1958" "SPRratio_1958" 1.03609 0.0646273 0.5584 0.711714
"SPRratio_1959" "SPRratio_1959" 0.981945 0.0707271 -0.25527 0.399257
"SPRratio_1960" "SPRratio_1960" 1.0008 0.0687236 0.0116542 0.504649
"SPRratio_1961" "SPRratio_1961" 1.15302 0.0511377 2.99233 0.998616
"SPRratio_1962" "SPRratio_1962" 1.14476 0.0554349 2.61135 0.995491
"SPRratio_1963" "SPRratio_1963" 1.17975 0.0508836 3.53259 0.999794
"SPRratio_1964" "SPRratio_1964" 1.00703 0.0758591 0.0927182 0.536936
"SPRratio_1965" "SPRratio_1965" 1.06249 0.0676611 0.92356 0.822142
"SPRratio_1966" "SPRratio_1966" 1.11584 0.0670787 1.72692 0.957909
"SPRratio_1967" "SPRratio_1967" 0.952369 0.0845056 -0.563647 0.286497
"SPRratio_1968" "SPRratio_1968" 0.831697 0.0829848 -2.02812 0.021274
"SPRratio_1969" "SPRratio_1969" 0.789768 0.0776579 -2.70715 0.0033932
"SPRratio_1970" "SPRratio_1970" 1.0927 0.0548844 1.68906 0.954396
"SPRratio_1971" "SPRratio_1971" 1.15151 0.0491525 3.08243 0.998973
"SPRratio_1972" "SPRratio_1972" 1.14184 0.0519626 2.72969 0.99683
"SPRratio_1973" "SPRratio_1973" 1.14067 0.0541236 2.59908 0.995326
"SPRratio_1974" "SPRratio_1974" 1.10358 0.0578082 1.79172 0.963411
"SPRratio_1975" "SPRratio_1975" 1.0541 0.0613088 0.882409 0.811222
"SPRratio_1976" "SPRratio_1976" 1.0268 0.0609041 0.440058 0.670053
"SPRratio_1977" "SPRratio_1977" 0.816328 0.0698104 -2.63101 0.00425663
"SPRratio_1978" "SPRratio_1978" 1.08274 0.0469968 1.76051 0.96084
"SPRratio_1979" "SPRratio_1979" 1.05298 0.0507248 1.0444 0.851849
"SPRratio_1980" "SPRratio_1980" 0.911812 0.054623 -1.61449 0.053211
"SPRratio_1981" "SPRratio_1981" 1.12345 0.0352861 3.49851 0.999766
"SPRratio_1982" "SPRratio_1982" 1.1507 0.0359883 4.18755 0.999986
"SPRratio_1983" "SPRratio_1983" 1.02782 0.0502028 0.554161 0.710266
"SPRratio_1984" "SPRratio_1984" 1.05888 0.0457792 1.28611 0.900797
"SPRratio_1985" "SPRratio_1985" 1.07731 0.0448239 1.72478 0.957716
"SPRratio_1986" "SPRratio_1986" 1.05606 0.0474083 1.18242 0.88148
"SPRratio_1987" "SPRratio_1987" 1.05509 0.0519904 1.05967 0.855354
"SPRratio_1988" "SPRratio_1988" 1.12395 0.0461841 2.6838 0.99636
"SPRratio_1989" "SPRratio_1989" 1.19297 0.0352762 5.47027 1
"SPRratio_1990" "SPRratio_1990" 1.11925 0.0468458 2.54561 0.994546
"SPRratio_1991" "SPRratio_1991" 1.0534 0.0559 0.955303 0.830288
"SPRratio_1992" "SPRratio_1992" 0.989523 0.061095 -0.171487 0.43192
"SPRratio_1993" "SPRratio_1993" 1.02724 0.0560801 0.48576 0.686431
"SPRratio_1994" "SPRratio_1994" 1.15846 0.0403249 3.92959 0.999957
"SPRratio_1995" "SPRratio_1995" 1.10207 0.0452877 2.25379 0.987895
"SPRratio_1996" "SPRratio_1996" 1.07006 0.0468934 1.49398 0.93241
"SPRratio_1997" "SPRratio_1997" 1.0592 0.047548 1.24503 0.893439
"SPRratio_1998" "SPRratio_1998" 1.13848 0.03708 3.73452 0.999906
"SPRratio_1999" "SPRratio_1999" 1.12569 0.0417108 3.01339 0.998708
"SPRratio_2000" "SPRratio_2000" 1.07476 0.047019 1.59005 0.944088
"SPRratio_2001" "SPRratio_2001" 1.03954 0.0444572 0.889341 0.81309
"SPRratio_2002" "SPRratio_2002" 1.08308 0.0382038 2.17455 0.985168
"SPRratio_2003" "SPRratio_2003" 1.18123 0.0299097 6.05929 1
"SPRratio_2004" "SPRratio_2004" 1.18579 0.0334343 5.55674 1
"SPRratio_2005" "SPRratio_2005" 1.13544 0.0422241 3.20757 0.999331
"SPRratio_2006" "SPRratio_2006" 1.08765 0.0485303 1.80611 0.964549
"SPRratio_2007" "SPRratio_2007" 1.06253 0.0519453 1.20378 0.885663
"SPRratio_2008" "SPRratio_2008" 1.10734 0.0470065 2.28346 0.988798
"SPRratio_2009" "SPRratio_2009" 1.08033 0.0457033 1.75756 0.960589
"SPRratio_2010" "SPRratio_2010" 1.08561 0.0422092 2.02828 0.978734
"SPRratio_2011" "SPRratio_2011" 1.14833 0.0363093 4.08505 0.999978
"SPRratio_2012" "SPRratio_2012" 1.1748 0.0344781 5.06977 1
"SPRratio_2013" "SPRratio_2013" 1.08848 0.0423459 2.08947 0.981667
"SPRratio_2014" "SPRratio_2014" 1.19225 0.031158 6.17019 1
"SPRratio_2015" "SPRratio_2015" 1.18926 0.0342692 5.52272 1
"SPRratio_2016" "SPRratio_2016" 1.12712 0.0443257 2.8679 0.997934
"SPRratio_2017" "SPRratio_2017" 1.0993 0.0479122 2.07247 0.980889
"SPRratio_2018" "SPRratio_2018" 1.14937 0.0412039 3.62504 0.999856
"SPRratio_2019" "SPRratio_2019" 1.14347 0.046076 3.11371 0.999076
"SPRratio_2020" "SPRratio_2020" 1.14632 0.0554103 2.64074 0.995864
"SPRratio_2021" "SPRratio_2021" 1.12098 0.0689841 1.75371 0.96026
"SPRratio_2022" "SPRratio_2022" 1.0095 0.0948881 0.100115 0.539874
"SPRratio_2023" "SPRratio_2023" 1.0095 0.0948881 0.100115 0.539874
"F_1952" "F_1952" 0.0160427 0.00222499 -442.229 0
"F_1953" "F_1953" 0.191516 0.01648 -49.0586 0
"F_1954" "F_1954" 1.28872 0.287113 1.00559 0.842695
"F_1955" "F_1955" 0.826672 0.178831 -0.969225 0.166217
"F_1956" "F_1956" 0.684188 0.147466 -2.14159 0.0161131
"F_1957" "F_1957" 0.62455 0.142633 -2.63228 0.0042407
"F_1958" "F_1958" 1.08984 0.244561 0.367332 0.643314
"F_1959" "F_1959" 0.977903 0.228429 -0.0967335 0.461469
"F_1960" "F_1960" 1.0438 0.246595 0.177629 0.570493
"F_1961" "F_1961" 1.75552 0.4323 1.74767 0.95974
"F_1962" "F_1962" 1.68693 0.435934 1.57575 0.942459
"F_1963" "F_1963" 1.98895 0.525125 1.88327 0.970168
"F_1964" "F_1964" 1.09478 0.291355 0.325301 0.627523
"F_1965" "F_1965" 1.25212 0.316897 0.795574 0.78686
"F_1966" "F_1966" 1.63962 0.480001 1.33254 0.908659
"F_1967" "F_1967" 0.855729 0.229648 -0.628226 0.264928
"F_1968" "F_1968" 0.647957 0.157477 -2.23552 0.0126917
"F_1969" "F_1969" 0.601373 0.137823 -2.89231 0.00191216
"F_1970" "F_1970" 1.36119 0.297664 1.21342 0.887515
"F_1971" "F_1971" 1.95062 0.482583 1.96986 0.975573
"F_1972" "F_1972" 2.11697 0.567152 1.96944 0.975549
"F_1973" "F_1973" 2.07969 0.559464 1.92986 0.973188
"F_1974" "F_1974" 1.81228 0.501988 1.61813 0.947183
"F_1975" "F_1975" 1.33611 0.330211 1.01785 0.845625
"F_1976" "F_1976" 1.24391 0.300513 0.811661 0.791507
"F_1977" "F_1977" 0.631072 0.129201 -2.85545 0.00214883
"F_1978" "F_1978" 1.15802 0.192677 0.820124 0.793927
"F_1979" "F_1979" 1.24561 0.234184 1.04881 0.852866
"F_1980" "F_1980" 0.849506 0.146628 -1.02636 0.15236
"F_1981" "F_1981" 1.57283 0.240718 2.37969 0.991336
"F_1982" "F_1982" 2.0317 0.36907 2.79541 0.997408
"F_1983" "F_1983" 1.33679 0.264572 1.27297 0.898485
"F_1984" "F_1984" 1.3811 0.253065 1.50595 0.93396
"F_1985" "F_1985" 1.32489 0.234676 1.38444 0.916888
"F_1986" "F_1986" 1.23934 0.220284 1.08652 0.861375
"F_1987" "F_1987" 1.21373 0.23295 0.91751 0.820562
"F_1988" "F_1988" 1.59127 0.335216 1.76384 0.96112
"F_1989" "F_1989" 2.47974 0.530875 2.78736 0.997343
"F_1990" "F_1990" 1.72718 0.36754 1.97852 0.976065
"F_1991" "F_1991" 1.32225 0.27965 1.15233 0.875408
"F_1992" "F_1992" 0.965394 0.186878 -0.18518 0.426544
"F_1993" "F_1993" 1.20441 0.257456 0.793949 0.786387
"F_1994" "F_1994" 1.95472 0.412244 2.31592 0.989719
"F_1995" "F_1995" 1.82 0.40944 2.00274 0.977398
"F_1996" "F_1996" 1.56242 0.313246 1.79547 0.963711
"F_1997" "F_1997" 1.38178 0.257158 1.4846 0.931175
"F_1998" "F_1998" 1.90016 0.329948 2.7282 0.996816
"F_1999" "F_1999" 1.63513 0.277739 2.2868 0.988896
"F_2000" "F_2000" 1.31403 0.224475 1.39897 0.919089
"F_2001" "F_2001" 1.13488 0.164348 0.820724 0.794098
"F_2002" "F_2002" 1.21066 0.159395 1.32162 0.906852
"F_2003" "F_2003" 1.87158 0.26357 3.30682 0.999528
"F_2004" "F_2004" 1.85744 0.293845 2.91802 0.998239
"F_2005" "F_2005" 1.71196 0.309555 2.29994 0.989274
"F_2006" "F_2006" 1.42444 0.258692 1.64073 0.949573
"F_2007" "F_2007" 1.26653 0.229198 1.16286 0.877557
"F_2008" "F_2008" 1.45453 0.267346 1.70017 0.95545
"F_2009" "F_2009" 1.26783 0.211952 1.26365 0.896822
"F_2010" "F_2010" 1.2853 0.200107 1.42571 0.923024
"F_2011" "F_2011" 1.59612 0.243166 2.45151 0.992887
"F_2012" "F_2012" 1.79061 0.283556 2.78818 0.99735
"F_2013" "F_2013" 1.43222 0.235393 1.83618 0.966835
"F_2014" "F_2014" 1.75239 0.242238 3.10598 0.999052
"F_2015" "F_2015" 1.93591 0.30895 3.02931 0.998774
"F_2016" "F_2016" 1.7893 0.336588 2.34502 0.990487
"F_2017" "F_2017" 1.41751 0.247754 1.68518 0.954023
"F_2018" "F_2018" 1.5731 0.263373 2.17599 0.985222
"F_2019" "F_2019" 1.55526 0.285066 1.94784 0.974283
"F_2020" "F_2020" 1.48857 0.320991 1.52205 0.936002
"F_2021" "F_2021" 1.60485 0.434398 1.39239 0.918098
"F_2022" "F_2022" 1.06895 0.320003 0.215451 0.585292
"F_2023" "F_2023" 1.06895 0.320003 0.215451 0.585292
"Bratio_1953" "Bratio_1953" 4.69088 0.378649 9.7475 1
"Bratio_1954" "Bratio_1954" 4.27813 0.368634 8.89264 1
"Bratio_1955" "Bratio_1955" 2.17562 0.41264 2.84903 0.997807
"Bratio_1956" "Bratio_1956" 1.80998 0.358171 2.26143 0.988134
"Bratio_1957" "Bratio_1957" 1.74926 0.326169 2.29715 0.989195
"Bratio_1958" "Bratio_1958" 1.74052 0.314038 2.35807 0.990815
"Bratio_1959" "Bratio_1959" 1.3822 0.293616 1.30171 0.903492
"Bratio_1960" "Bratio_1960" 1.29805 0.281562 1.05857 0.855102
"Bratio_1961" "Bratio_1961" 1.25181 0.27213 0.925332 0.822603
"Bratio_1962" "Bratio_1962" 0.891647 0.243514 -0.444955 0.328176
"Bratio_1963" "Bratio_1963" 0.762301 0.215935 -1.10079 0.135495
"Bratio_1964" "Bratio_1964" 0.62477 0.192974 -1.94446 0.0259199
"Bratio_1965" "Bratio_1965" 0.785368 0.211914 -1.01283 0.155571
"Bratio_1966" "Bratio_1966" 0.802782 0.224449 -0.878675 0.189789
"Bratio_1967" "Bratio_1967" 0.681674 0.228908 -1.39063 0.0821691
"Bratio_1968" "Bratio_1968" 0.855568 0.241935 -0.596985 0.275258
"Bratio_1969" "Bratio_1969" 1.06133 0.260128 0.235782 0.593199
"Bratio_1970" "Bratio_1970" 1.2277 0.27337 0.832952 0.797564
"Bratio_1971" "Bratio_1971" 0.945589 0.242455 -0.224419 0.411216
"Bratio_1972" "Bratio_1972" 0.682311 0.196006 -1.62081 0.0525289
"Bratio_1973" "Bratio_1973" 0.606984 0.167737 -2.34305 0.00956349
"Bratio_1974" "Bratio_1974" 0.583217 0.163618 -2.5473 0.0054281
"Bratio_1975" "Bratio_1975" 0.626125 0.171165 -2.18429 0.0144703
"Bratio_1976" "Bratio_1976" 0.707409 0.176261 -1.65998 0.0484589
"Bratio_1977" "Bratio_1977" 0.740332 0.179523 -1.44644 0.0740275
"Bratio_1978" "Bratio_1978" 0.926714 0.187666 -0.390514 0.348078
"Bratio_1979" "Bratio_1979" 0.842457 0.172002 -0.915939 0.179849
"Bratio_1980" "Bratio_1980" 0.801141 0.169181 -1.17542 0.119914
"Bratio_1981" "Bratio_1981" 1.01793 0.169532 0.105766 0.542116
"Bratio_1982" "Bratio_1982" 0.863423 0.151419 -0.901982 0.183533
"Bratio_1983" "Bratio_1983" 0.668253 0.135942 -2.44036 0.00733634
"Bratio_1984" "Bratio_1984" 0.723364 0.13836 -1.99939 0.022783
"Bratio_1985" "Bratio_1985" 0.727256 0.136796 -1.9938 0.0230867
"Bratio_1986" "Bratio_1986" 0.658541 0.130321 -2.62014 0.00439476
"Bratio_1987" "Bratio_1987" 0.625647 0.121093 -3.09144 0.000996009
"Bratio_1988" "Bratio_1988" 0.577763 0.126652 -3.33383 0.000428354
"Bratio_1989" "Bratio_1989" 0.575186 0.133916 -3.17224 0.000756405
"Bratio_1990" "Bratio_1990" 0.533791 0.124909 -3.7324 9.48609e-05
"Bratio_1991" "Bratio_1991" 0.557199 0.128909 -3.43499 0.000296334
"Bratio_1992" "Bratio_1992" 0.609415 0.139517 -2.79954 0.0025588
"Bratio_1993" "Bratio_1993" 0.713001 0.156999 -1.82803 0.0337723
"Bratio_1994" "Bratio_1994" 0.775408 0.173217 -1.29659 0.097386
"Bratio_1995" "Bratio_1995" 0.672572 0.159976 -2.04674 0.0203419
"Bratio_1996" "Bratio_1996" 0.711977 0.149637 -1.92482 0.0271262
"Bratio_1997" "Bratio_1997" 0.744434 0.150231 -1.70115 0.0444571
"Bratio_1998" "Bratio_1998" 0.850849 0.162818 -0.916055 0.179819
"Bratio_1999" "Bratio_1999" 0.932687 0.174573 -0.385589 0.349901
"Bratio_2000" "Bratio_2000" 0.875815 0.18125 -0.685158 0.246622
"Bratio_2001" "Bratio_2001" 0.974404 0.190912 -0.134071 0.446673
"Bratio_2002" "Bratio_2002" 1.01143 0.177546 0.0643896 0.52567
"Bratio_2003" "Bratio_2003" 0.859124 0.151554 -0.929541 0.176304
"Bratio_2004" "Bratio_2004" 0.678263 0.128192 -2.5098 0.00603993
"Bratio_2005" "Bratio_2005" 0.539065 0.115966 -3.97475 3.52432e-05
"Bratio_2006" "Bratio_2006" 0.547373 0.118601 -3.81638 6.77367e-05
