id,Label,values,lambdas
14-CAAL-target-earlyF,TOTAL,837.668,
14-CAAL-target-earlyF,Catch,0.803156,
14-CAAL-target-earlyF,Equil_catch,0,
14-CAAL-target-earlyF,Survey,-28.3208,
14-CAAL-target-earlyF,Length_comp,108.327,
14-CAAL-target-earlyF,Age_comp,0.144306,
14-CAAL-target-earlyF,SizeFreq,755.876,
14-CAAL-target-earlyF,Recruitment,0.790681,1
14-CAAL-target-earlyF,InitEQ_Regime,7.83875e-31,1
14-CAAL-target-earlyF,Forecast_Recruitment,0.0207329,1
14-CAAL-target-earlyF,Parm_priors,0,1
14-CAAL-target-earlyF,Parm_softbounds,0.02704,
14-CAAL-target-earlyF,Parm_devs,0,1
14-CAAL-target-earlyF,Crash_Pen,0,1
