id,Label,values,lambdas
16-CAAL-rm-spike,TOTAL,837.789,
16-CAAL-rm-spike,Catch,0.797104,
16-CAAL-rm-spike,Equil_catch,0,
16-CAAL-rm-spike,Survey,-27.6842,
16-CAAL-rm-spike,Length_comp,107.972,
16-CAAL-rm-spike,Age_comp,0.108861,
16-CAAL-rm-spike,SizeFreq,755.946,
16-CAAL-rm-spike,Recruitment,0.602041,1
16-CAAL-rm-spike,InitEQ_Regime,0,1
16-CAAL-rm-spike,Forecast_Recruitment,0.0204191,1
16-CAAL-rm-spike,Parm_priors,0,1
16-CAAL-rm-spike,Parm_softbounds,0.0275885,
16-CAAL-rm-spike,Parm_devs,0,1
16-CAAL-rm-spike,Crash_Pen,0,1
