Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50-CAAL-oneFleet-07
Catch_like,0.038923,0.00427102,0.000859544,0.0129538,0.007882,0.000495328,0.000340803,0.000535987,0.000442156,0.000459728,0.00585371,0.000259403,0.00224387,0.000774747,0.000116798,0.00143417,0,50-CAAL-oneFleet-07
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50-CAAL-oneFleet-07
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-CAAL-oneFleet-07
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50-CAAL-oneFleet-07
Surv_like,-28.4726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.4726,50-CAAL-oneFleet-07
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,50-CAAL-oneFleet-07
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-CAAL-oneFleet-07
Length_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-CAAL-oneFleet-07
Length_like,0,0,0,14.9223,0,6.70082,0,0,0,0,23.1062,41.1147,0,0,29.0642,0,0,50-CAAL-oneFleet-07
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,50-CAAL-oneFleet-07
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-CAAL-oneFleet-07
Age_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-CAAL-oneFleet-07
Age_like,0,0,0,0,0,0,0,0,0,0.0363081,0.0519232,0,0.0265949,0,0,0,0,50-CAAL-oneFleet-07
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,50-CAAL-oneFleet-07
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50-CAAL-oneFleet-07
SizeFreq_lambda:_1,,,0,0,,,0,1,,0,0,,,,,,0,50-CAAL-oneFleet-07
SizeFreq_like:_1,188.151,,101.3,35.4967,,,397.35,188.151,,58.5042,65.8214,,,,,,9.78356,50-CAAL-oneFleet-07
