Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17-CAAL-noAU-ASPM
Catch_like,0.531298,0.00123516,0.000500268,0.00319229,0.00206879,0.000305318,0.000253643,0.000298085,0.000236242,0.000252775,0.00211192,0.000173616,0.00122861,0.000422054,9.50066e-05,0.518924,0,17-CAAL-noAU-ASPM
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17-CAAL-noAU-ASPM
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-CAAL-noAU-ASPM
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17-CAAL-noAU-ASPM
Surv_like,-32.6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.6067,17-CAAL-noAU-ASPM
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,17-CAAL-noAU-ASPM
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-CAAL-noAU-ASPM
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,17-CAAL-noAU-ASPM
Length_like,107.487,0,0,13.9694,0,6.25023,0,0,0,0,19.9015,40.1139,0,0,27.2523,0,0,17-CAAL-noAU-ASPM
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,17-CAAL-noAU-ASPM
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-CAAL-noAU-ASPM
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,17-CAAL-noAU-ASPM
Age_like,0.112065,0,0,0,0,0,0,0,0,0.0356148,0.0513632,0,0.0250874,0,0,0,0,17-CAAL-noAU-ASPM
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,17-CAAL-noAU-ASPM
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-CAAL-noAU-ASPM
SizeFreq_lambda:_1,,,1,1,,,0,1,,1,1,,,,,,1,17-CAAL-noAU-ASPM
SizeFreq_like:_1,424.924,,86.1001,32.7636,,,377.67,188.901,,55.6673,54.482,,,,,,7.00983,17-CAAL-noAU-ASPM
