Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30-CAAL-cUnc-cv2
Catch_like,1.04761,8.9768e-05,0.000371061,0.000602934,0.000100526,0.000100328,0.000168544,0.000203727,0.000161764,0.000154883,0.00138596,6.00599e-05,0.000494563,0.000257666,6.88395e-05,1.04339,0,30-CAAL-cUnc-cv2
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30-CAAL-cUnc-cv2
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-CAAL-cUnc-cv2
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30-CAAL-cUnc-cv2
Surv_like,-29.0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.0122,30-CAAL-cUnc-cv2
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,30-CAAL-cUnc-cv2
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-CAAL-cUnc-cv2
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,30-CAAL-cUnc-cv2
Length_like,107.711,0,0,14.0969,0,6.38752,0,0,0,0,20.0999,39.8116,0,0,27.3149,0,0,30-CAAL-cUnc-cv2
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,30-CAAL-cUnc-cv2
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-CAAL-cUnc-cv2
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,30-CAAL-cUnc-cv2
Age_like,0.10678,0,0,0,0,0,0,0,0,0.0340214,0.0468979,0,0.0258606,0,0,0,0,30-CAAL-cUnc-cv2
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,30-CAAL-cUnc-cv2
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-CAAL-cUnc-cv2
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,30-CAAL-cUnc-cv2
SizeFreq_like:_1,753.491,,86.264,33.0404,,,332.83,186.328,,54.8631,52.69,,,,,,7.47534,30-CAAL-cUnc-cv2
