"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_1978" "Recr_1978" 122.032 22.3384 NA NA
"Recr_1979" "Recr_1979" 124.262 22.1395 NA NA
"Recr_1980" "Recr_1980" 121.985 20.3086 NA NA
"Recr_1981" "Recr_1981" 115.246 19.3281 NA NA
"Recr_1982" "Recr_1982" 104.054 17.7897 NA NA
"Recr_1983" "Recr_1983" 86.3599 16.3531 NA NA
"Recr_1984" "Recr_1984" 92.6994 15.4725 NA NA
"Recr_1985" "Recr_1985" 96.7532 17.9072 NA NA
"Recr_1986" "Recr_1986" 104.881 21.8782 NA NA
"Recr_1987" "Recr_1987" 131.822 21.87 NA NA
"Recr_1988" "Recr_1988" 114.501 19.2926 NA NA
"Recr_1989" "Recr_1989" 101.751 18.2286 NA NA
"Recr_1990" "Recr_1990" 93.3462 19.4009 NA NA
"Recr_1991" "Recr_1991" 107.296 21.1376 NA NA
"Recr_1992" "Recr_1992" 130.594 23.0849 NA NA
"Recr_1993" "Recr_1993" 139.496 24.8514 NA NA
"Recr_1994" "Recr_1994" 140.674 27.2115 NA NA
"Recr_1995" "Recr_1995" 140.994 29.323 NA NA
"Recr_1996" "Recr_1996" 152.113 28.6224 NA NA
"Recr_1997" "Recr_1997" 148.033 26.8623 NA NA
"Recr_1998" "Recr_1998" 147.37 25.2017 NA NA
"Recr_1999" "Recr_1999" 129.041 23.9249 NA NA
"Recr_2000" "Recr_2000" 128.206 25.4191 NA NA
"Recr_2001" "Recr_2001" 152.088 26.573 NA NA
"Recr_2002" "Recr_2002" 127.012 22.0139 NA NA
"Recr_2003" "Recr_2003" 111.54 18.3409 NA NA
"Recr_2004" "Recr_2004" 97.1029 16.9236 NA NA
"Recr_2005" "Recr_2005" 93.9031 16.3621 NA NA
"Recr_2006" "Recr_2006" 94.4908 15.9932 NA NA
"Recr_2007" "Recr_2007" 93.0225 16.1856 NA NA
"Recr_2008" "Recr_2008" 96.4933 16.4146 NA NA
"Recr_2009" "Recr_2009" 92.8263 16.111 NA NA
"Recr_2010" "Recr_2010" 93.1915 15.6704 NA NA
"Recr_2011" "Recr_2011" 91.2684 15.8094 NA NA
"Recr_2012" "Recr_2012" 86.5492 15.6565 NA NA
"Recr_2013" "Recr_2013" 82.7749 14.5616 NA NA
"Recr_2014" "Recr_2014" 86.8357 14.4018 NA NA
"Recr_2015" "Recr_2015" 80.3829 14.7734 NA NA
"Recr_2016" "Recr_2016" 77.0881 15.6185 NA NA
"Recr_2017" "Recr_2017" 85.345 16.2897 NA NA
"Recr_2018" "Recr_2018" 93.4636 17.9379 NA NA
"Recr_2019" "Recr_2019" 95.9225 19.6766 NA NA
"Recr_2020" "Recr_2020" 97.7549 21.7475 NA NA
"Recr_2021" "Recr_2021" 106.198 24.4876 NA NA
"Recr_2022" "Recr_2022" 111.649 26.1261 NA NA
"Recr_2023" "Recr_2023" 118.46 27.2592 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0217352 0.00178238 -548.852 0
"SPRratio_1953" "SPRratio_1953" 0.419532 0.0702348 -8.26468 7.08308e-17
"SPRratio_1954" "SPRratio_1954" 1.12882 0.0646366 1.99297 0.976868
"SPRratio_1955" "SPRratio_1955" 1.00621 0.0839157 0.073998 0.529494
"SPRratio_1956" "SPRratio_1956" 0.945365 0.0856243 -0.638082 0.26171
