id,number,name,tag,n_warn,par_status,par_afterbound,nfleets,startyr,endyr,n_seasons,ss_version,n_par_active,n_par_active_nd,n_par_total,log_det_hessian,mgc,nll,Catch,Equil_catch,Survey,Length_comp,SizeFreq,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,ltrend,runs,ar,sdr,sigmaR,steepness,M_m,L0_m,Linf_m,k_m,M_f,L0_f,Linf_f,k_f,F_2016,F_2022,SSB_virgin,SSB_Initial,SSB_2016,SSB_2022,MSY,SSB_MSY,F_MSY,B_Bmsy_2016,B_Bmsy_2022,F_Fmsy_2016,F_Fmsy_2022,R_virgin,R_initial,dep_st,dep_dyn_2016,dep_dyn_2022,mohns_rho_ssb,mohns_rho_f,average_xval_cpue_mase,average_xval_len_mase,Age_comp
13-CAAL-noAgeerr-OGsd,13,CAAL-noAgeerr-OGsd,,191,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,"1,091.69",0,837.716,0.814,0,-28.349,108.387,755.85,0.822,0,0.021,0,0.028,0,0,0.073,0,0.027,0.189,0.2,0.8,,,,0.462,0.36,77.191,220.505,0.462,1.782,1.063,11353,11353,887.631,"1,100.55","1,904.03","2,514.64",0.722,0.353,0.438,1.782,1.063,160.291,160.291,0.141,0.091,0.115,,,,,0.144
14-CAAL-target-earlyF,14,CAAL-target-earlyF,,405,0.337,1,16,1952,2022,4,3.3,180,98,2605,494.626,0.001,837.668,0.803,0,-28.321,108.327,755.876,0.791,0,0.021,0,0.027,0,0,0.074,0,0.027,0.188,0.2,0.8,,,,0.462,0.36,77.236,220.531,0.462,1.789,1.069,"11,362.6","11,362.6",883.655,"1,093.62","1,906.06","2,516.2",0.723,0.351,0.435,1.789,1.069,160.388,160.388,0.14,0.09,0.114,,,,,0.144
16-CAAL-rm-spike,16,CAAL-rm-spike,,170,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,"1,092.73",0.001,837.789,0.797,0,-27.684,107.972,755.946,0.602,0,0.02,0,0.028,0,0,0.085,0,0.026,0.188,0.2,0.8,,,,0.459,0.36,77.812,220.734,0.459,1.798,1.07,"11,396.3","11,396.3",874.808,"1,081.54","1,910.82","2,515.86",0.734,0.348,0.43,1.798,1.07,160.855,160.855,0.139,0.089,0.112,,,,,0.109
17-CAAL-noAU-ASPM,17,CAAL-noAU-ASPM,,170,0.217,0.986,16,1952,2022,4,3.3,220,138,2605,"1,060.42",0.001,490.749,0.531,0,-32.607,107.487,424.924,-9.741,0,0.019,0,0.023,0,0,0.365,0,0,0.153,0.2,0.8,,,,0.523,0.36,74.508,219.998,0.523,1.866,1.141,"11,957.5","11,957.5",829.001,"1,101.27","1,983.26","2,678.37",0.716,0.31,0.411,1.866,1.141,151.025,151.025,0.122,0.077,0.105,,,,,0.112
18-CAAL-cUnc-cv40,18,CAAL-cUnc-cv40,,170,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,965.012,0,835.58,1.389,0,-28.595,107.699,754.594,0.338,0,0.021,0,0.028,0,0,0.141,0,0.034,0.188,0.2,0.8,,,,0.463,0.36,77.85,219.82,0.463,1.674,1.001,"11,087.1","11,087.1",935.693,"1,166.11","1,867.98","2,441.35",0.734,0.383,0.478,1.674,1.001,158.367,158.367,0.152,0.098,0.124,,,,,0.108
19-CAAL-1979,19,CAAL-1979,1979,7,0.895,1,15,1979,2022,4,3.3,93,38,171,149.246,0,826.022,0,0.007,-20.777,108.469,723.495,14.67,0,0.02,0,0.025,0,0,0.758,0.166,0.103,0.206,0.2,0.8,,,,0.561,0.36,78.132,204.584,0.561,0.067,0.047,"42,455.2","35,265.3","32,650.1","37,618.9","7,926.84","8,916.11",0.702,3.662,4.219,0.067,0.047,766.898,757.248,0.987,0.857,0.892,,,,,0.112
20-CAAL-1979-estInitF,20,CAAL-1979-estInitF,,8,0.786,0.905,15,1979,2022,4,3.3,97,42,171,270.96,0.02,825.738,0,0,-20.914,108.573,724.549,13.37,0,0.02,0,0.026,0,0,0.846,0.442,0.114,0.2,0.2,0.8,,,,0.576,0.36,77.312,203.493,0.576,0,0,178119000,178112000,161498000,179476000,33550600,37351300,0.721,4.324,4.805,0,0,3264470,3264460,1.104,1,1,,,,,0.115
21-CAAL-NZrecwtQtr,21,CAAL-NZrecwtQtr,NZrecwtQtr,204,0.232,0.986,16,1952,2022,4,3.3,224,142,2605,"1,084.05",0.001,881.178,0.764,0,-28.19,107.961,799.763,0.724,0,0.02,0,0.027,0,0,0.09,0,0.029,0.188,0.2,0.8,,,,0.458,0.36,77.772,220.888,0.458,1.809,1.086,"11,422.3","11,422.3",870.931,"1,067.74","1,912.6","2,523.63",0.733,0.345,0.423,1.809,1.086,160.891,160.891,0.137,0.088,0.11,,,,,0.109
22-1979-estInitF-v2,22,1979-estInitF-v2,,7,0.907,1,15,1979,2022,4,3.3,98,43,174,245.726,0,"1,395.75",0.001,0.062,-29.513,554.753,846.235,24.129,0,0.053,0,0.028,0,0,0.499,0.004,0,0.246,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,0.745,0.333,"12,279.7","2,645.84","2,295.48","4,432.24","1,989.32","2,736.94",0.69,0.839,1.619,0.745,0.333,132.132,107.637,0.478,0.239,0.398,,,,,
23-CAAL-2sex,23,CAAL-2sex,2sex,119,0.234,0.979,16,1952,2022,4,3.3,227,145,2612,"1,111.07",0.047,350.06,0.326,0,-27.311,104.981,275.717,-3.84,0,0.017,0,0.033,0,0,0.49,0,0.096,0.174,0.2,0.8,0.36,5,215.989,0.528,0.36,67.948,223.023,0.528,2.117,1.476,"6,858.98","6,858.98",382.691,437.179,"2,023.46","1,535.97",0.724,0.249,0.285,2.117,1.476,164.336,164.336,0.088,0.062,0.071,,,,,0.137
24-CAAL-Richards,24,CAAL-Richards,Richards,188,0.238,0.986,16,1952,2022,4,3.3,225,143,2606,"1,082.22",0.007,880.964,0.708,0,-27.943,108.326,799.451,0.266,0,0.02,0,0.026,0,0,0.122,0.002,0.035,0.187,0.2,0.8,,,,0.511,0.36,82.325,219.615,0.511,1.878,1.154,"11,492.6","11,492.6",832.891,995.117,"1,928.86","2,551.03",0.737,0.326,0.39,1.878,1.154,160.89,160.89,0.127,0.084,0.102,,,,,0.11
25-mls-base-1979-corrected,25,mls-base-1979-corrected,,8,0.8,0.875,15,1979,2022,4,3.3,95,40,178,393.097,0.004,"33,891.9",0,4.662,86.452,"14,047.2","19,427.6",272.773,0,53.132,0,0.077,0,0,0.266,0,0,0.718,0.2,0.8,,,,0.835,0.36,88.382,210.992,0.835,0.05,0.098,"67,142.8","58,739.3","64,321.3","41,727.9",10391,"15,443.1",0.501,4.165,2.702,0.05,0.098,722.47,716.067,0.575,0.899,0.877,,,,,
26-CAAL-maxAge-15,26,CAAL-maxAge-15,,182,0.232,0.993,16,1952,2022,4,3.3,224,142,2605,"1,076.09",0.004,836.63,0.741,0,-27.888,107.721,755.751,0.142,0,0.02,0,0.027,0,0,0.144,0.002,0.041,0.186,0.2,0.8,,,,0.447,0.36,78.551,222.491,0.447,1.919,1.183,"11,671.9","11,671.9",824.352,983.654,"1,933.93","2,585.4",0.732,0.319,0.38,1.919,1.183,161.81,161.81,0.123,0.081,0.099,,,,,0.115
27-CAAL-NZdblnorm,27,CAAL-NZdblnorm,NZdblnorm,133,0.236,0.986,16,1952,2022,4,3.3,226,144,2609,"1,087.58",0.009,838.607,0.745,0,-28.1,108.664,756.843,0.296,0,0.02,0,0.03,0,0,0.12,0.002,0.034,0.187,0.2,0.8,,,,0.454,0.36,77.641,221.837,0.454,1.853,1.143,"11,599.1","11,599.1",847.069,"1,020.4","1,929.77","2,565.01",0.731,0.33,0.398,1.853,1.143,161.486,161.486,0.129,0.084,0.103,,,,,0.109
