Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03-chg-selex-1979
Catch_like,7.2593e-05,5.49169e-06,3.73167e-06,7.28435e-06,1.20451e-06,6.06734e-06,1.00903e-05,8.03315e-06,6.38995e-06,1.15033e-06,2.11638e-06,5.49169e-06,4.44009e-06,4.74252e-06,6.35911e-06,0,03-chg-selex-1979
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03-chg-selex-1979
Init_equ_like,0.584615,0,0.584615,0,0,0,0,0,0,0,0,0,0,0,0,0,03-chg-selex-1979
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,03-chg-selex-1979
Surv_like,-33.4889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.4889,03-chg-selex-1979
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,03-chg-selex-1979
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03-chg-selex-1979
Length_lambda,,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,03-chg-selex-1979
Length_like,545.55,7.77453,20.175,13.9698,0,5.8299,43.6269,67.1786,0.663163,0,20.175,148.344,169.894,2.5824,40.1771,5.16015,03-chg-selex-1979
Length_N_use,,25,16,23,0,17,42,44,1,0,20,84,113,2,50,23,03-chg-selex-1979
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03-chg-selex-1979
SizeFreq_lambda:_1,,1,1,1,,,1,1,,1,1,,,,,1,03-chg-selex-1979
SizeFreq_like:_1,883.516,1.19474,158.809,35.4314,,,383.121,202.217,,63.9334,32.4373,,,,,6.37178,03-chg-selex-1979
