Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58-CAAL-NZdblnorm-75
Catch_like,0.828539,0.000596019,0.00044371,0.00159426,0.000930016,0.000149939,0.000208767,0.000259277,0.000205264,0.000209669,0.00195337,8.63953e-05,0.000739061,0.000358076,7.99013e-05,0.820726,0,58-CAAL-NZdblnorm-75
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58-CAAL-NZdblnorm-75
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58-CAAL-NZdblnorm-75
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58-CAAL-NZdblnorm-75
Surv_like,-28.3635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.3635,58-CAAL-NZdblnorm-75
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,58-CAAL-NZdblnorm-75
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58-CAAL-NZdblnorm-75
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,58-CAAL-NZdblnorm-75
Length_like,108.576,0,0,14.0425,0,6.44683,0,0,0,0,20.8286,39.8639,0,0,27.394,0,0,58-CAAL-NZdblnorm-75
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,58-CAAL-NZdblnorm-75
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58-CAAL-NZdblnorm-75
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,58-CAAL-NZdblnorm-75
Age_like,0.10872,0,0,0,0,0,0,0,0,0.0343371,0.0480391,0,0.0263441,0,0,0,0,58-CAAL-NZdblnorm-75
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,58-CAAL-NZdblnorm-75
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58-CAAL-NZdblnorm-75
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,58-CAAL-NZdblnorm-75
SizeFreq_like:_1,756.566,,85.7405,32.9808,,,333.345,186.731,,54.8216,55.3983,,,,,,7.54933,58-CAAL-NZdblnorm-75
