Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28-CAAL-noNZrec-ASPM
Catch_like,0.0497226,0.00492356,0.000860923,0.0141549,0.00935527,0.000685742,0.000315535,0.000434577,0.000342604,0.000423895,0.00417503,0.000331035,0.00273458,0.000858713,0.000131071,0.00999517,0,28-CAAL-noNZrec-ASPM
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28-CAAL-noNZrec-ASPM
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-CAAL-noNZrec-ASPM
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28-CAAL-noNZrec-ASPM
Surv_like,-26.6697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.6697,28-CAAL-noNZrec-ASPM
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28-CAAL-noNZrec-ASPM
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-CAAL-noNZrec-ASPM
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,28-CAAL-noNZrec-ASPM
Length_like,106.312,0,0,13.6309,0,6.18413,0,0,0,0,18.4313,40.8815,0,0,27.1841,0,0,28-CAAL-noNZrec-ASPM
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,28-CAAL-noNZrec-ASPM
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-CAAL-noNZrec-ASPM
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,28-CAAL-noNZrec-ASPM
Age_like,0.114056,0,0,0,0,0,0,0,0,0.036465,0.0516958,0,0.0258948,0,0,0,0,28-CAAL-noNZrec-ASPM
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,28-CAAL-noNZrec-ASPM
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-CAAL-noNZrec-ASPM
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,0,,,,,,1,28-CAAL-noNZrec-ASPM
SizeFreq_like:_1,701.581,,84.3795,32.9302,,,334.453,186.926,,54.9336,69.1644,,,,,,7.95796,28-CAAL-noNZrec-ASPM
