"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_1977" "Recr_1977" 107.099 18.3178 NA NA
"Recr_1978" "Recr_1978" 135.79 19.4303 NA NA
"Recr_1979" "Recr_1979" 129.579 19.6972 NA NA
"Recr_1980" "Recr_1980" 147.79 16.8775 NA NA
"Recr_1981" "Recr_1981" 99.7423 14.2252 NA NA
"Recr_1982" "Recr_1982" 110.505 14.5104 NA NA
"Recr_1983" "Recr_1983" 88.0051 12.492 NA NA
"Recr_1984" "Recr_1984" 96.6486 11.5679 NA NA
"Recr_1985" "Recr_1985" 70.6515 10.2829 NA NA
"Recr_1986" "Recr_1986" 89.8725 16.0548 NA NA
"Recr_1987" "Recr_1987" 156.115 19.3741 NA NA
"Recr_1988" "Recr_1988" 110.052 16.8235 NA NA
"Recr_1989" "Recr_1989" 91.8221 14.6005 NA NA
"Recr_1990" "Recr_1990" 86.0326 15.087 NA NA
"Recr_1991" "Recr_1991" 104.753 19.4716 NA NA
"Recr_1992" "Recr_1992" 135.856 23.2266 NA NA
"Recr_1993" "Recr_1993" 143.162 23.1681 NA NA
"Recr_1994" "Recr_1994" 118.56 18.7207 NA NA
"Recr_1995" "Recr_1995" 105.648 17.7905 NA NA
"Recr_1996" "Recr_1996" 221.47 19.6149 NA NA
"Recr_1997" "Recr_1997" 130.227 14.3103 NA NA
"Recr_1998" "Recr_1998" 173.575 17.1204 NA NA
"Recr_1999" "Recr_1999" 166.083 13.1172 NA NA
"Recr_2000" "Recr_2000" 86.0509 10.4283 NA NA
"Recr_2001" "Recr_2001" 174.329 16.4245 NA NA
"Recr_2002" "Recr_2002" 109.683 14.2432 NA NA
"Recr_2003" "Recr_2003" 116.609 15.765 NA NA
"Recr_2004" "Recr_2004" 112.289 15.4572 NA NA
"Recr_2005" "Recr_2005" 87.9073 13.2781 NA NA
"Recr_2006" "Recr_2006" 106.782 16.066 NA NA
"Recr_2007" "Recr_2007" 109.025 16.1786 NA NA
"Recr_2008" "Recr_2008" 102.737 14.3357 NA NA
"Recr_2009" "Recr_2009" 93.1745 13.1177 NA NA
"Recr_2010" "Recr_2010" 90.8275 11.7387 NA NA
"Recr_2011" "Recr_2011" 86.7325 10.931 NA NA
"Recr_2012" "Recr_2012" 79.6958 9.57323 NA NA
"Recr_2013" "Recr_2013" 94.2093 8.73064 NA NA
"Recr_2014" "Recr_2014" 74.8211 7.30737 NA NA
"Recr_2015" "Recr_2015" 75.915 7.87465 NA NA
"Recr_2016" "Recr_2016" 77.9109 8.41886 NA NA
"Recr_2017" "Recr_2017" 77.9234 7.46265 NA NA
"Recr_2018" "Recr_2018" 62.6125 7.07507 NA NA
"Recr_2019" "Recr_2019" 81.2034 10.7697 NA NA
"Recr_2020" "Recr_2020" 110.124 19.7801 NA NA
"Recr_2021" "Recr_2021" 82.8961 17.9085 NA NA
"Recr_2022" "Recr_2022" 88.1294 21.5677 NA NA
