id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Bin,Obs
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,113,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,115,0.0119162
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,117,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,119,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,121,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,123,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,125,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,127,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,129,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,131,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,133,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,135,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,137,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,139,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,143,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,147,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,151,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,155,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,159,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,163,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,167,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,171,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,175,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,179,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,183,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,187,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,191,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,195,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,199,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,203,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,207,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,211,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,215,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,219,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,223,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,227,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,231,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,235,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,239,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,243,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2020.5,yes,SIZE,1,247,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,5,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,7,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,9,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,11,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,13,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,15,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,17,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,19,0.00381242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,21,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,23,0.00381242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,25,0.000913242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,27,0.00381242
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,29,0.0125099
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,31,0.00671161
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,33,0.00961076
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,35,0.0183083
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,37,0.0154091
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,39,0.00671161
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,41,0.0154091
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,43,0.00961076
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,45,0.0270058
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,47,0.00961076
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,49,0.0357034
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,51,0.044401
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,53,0.044401
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,55,0.0415018
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,57,0.0357034
24-CAAL-Richards,7,F07_LL.AU.3,2021.125,yes,SIZE,1,59,0.0501994
