Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26-CAAL-maxAge-15
Catch_like,0.741215,0.000832632,0.000533249,0.00224395,0.00139173,0.000217901,0.00023502,0.000300572,0.00023761,0.000250928,0.00251954,0.000115181,0.00100503,0.000438555,9.36076e-05,0.7308,0,26-CAAL-maxAge-15
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26-CAAL-maxAge-15
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-CAAL-maxAge-15
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26-CAAL-maxAge-15
Surv_like,-27.8885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.8885,26-CAAL-maxAge-15
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,26-CAAL-maxAge-15
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-CAAL-maxAge-15
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,26-CAAL-maxAge-15
Length_like,107.721,0,0,13.9632,0,6.36567,0,0,0,0,20.0035,40.0208,0,0,27.3678,0,0,26-CAAL-maxAge-15
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,26-CAAL-maxAge-15
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-CAAL-maxAge-15
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,26-CAAL-maxAge-15
Age_like,0.115432,0,0,0,0,0,0,0,0,0.0378108,0.0512112,0,0.0264096,0,0,0,0,26-CAAL-maxAge-15
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,26-CAAL-maxAge-15
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-CAAL-maxAge-15
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,26-CAAL-maxAge-15
SizeFreq_like:_1,755.751,,85.3734,32.9114,,,333.462,186.76,,54.8377,54.7626,,,,,,7.64386,26-CAAL-maxAge-15
