Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64-CAAL-NZdblnormV2-99
Catch_like,0.00516575,1.59411e-13,5.25856e-14,5.1699e-14,4.03157e-14,3.13725e-14,5.91885e-14,4.68358e-14,3.61327e-14,2.15501e-14,4.91412e-15,3.23616e-14,6.91655e-14,2.32898e-14,2.71151e-14,0.00516575,0,64-CAAL-NZdblnormV2-99
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64-CAAL-NZdblnormV2-99
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64-CAAL-NZdblnormV2-99
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64-CAAL-NZdblnormV2-99
Surv_like,-33.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.055,64-CAAL-NZdblnormV2-99
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,64-CAAL-NZdblnormV2-99
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64-CAAL-NZdblnormV2-99
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,64-CAAL-NZdblnormV2-99
Length_like,136.515,0,0,14.4354,0,7.06455,0,0,0,0,38.8308,46.8129,0,0,29.3716,0,0,64-CAAL-NZdblnormV2-99
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,64-CAAL-NZdblnormV2-99
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64-CAAL-NZdblnormV2-99
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,64-CAAL-NZdblnormV2-99
Age_like,0.101707,0,0,0,0,0,0,0,0,0.0313348,0.0455611,0,0.0248112,0,0,0,0,64-CAAL-NZdblnormV2-99
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,64-CAAL-NZdblnormV2-99
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64-CAAL-NZdblnormV2-99
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,64-CAAL-NZdblnormV2-99
SizeFreq_like:_1,925.633,,91.5302,34.2959,,,374.636,192.51,,55.372,170.24,,,,,,7.04866,64-CAAL-NZdblnormV2-99
