Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46-CAAL-revASPM-16
Catch_like,0.000954385,2.50977e-05,7.98002e-06,1.40742e-05,7.85178e-06,4.65464e-06,6.32322e-06,6.6931e-06,5.30349e-06,3.96751e-06,1.71956e-05,3.82481e-06,1.0669e-05,6.36948e-06,3.94705e-06,0.000830433,0,46-CAAL-revASPM-16
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46-CAAL-revASPM-16
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46-CAAL-revASPM-16
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46-CAAL-revASPM-16
Surv_like,-31.3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.3906,46-CAAL-revASPM-16
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,46-CAAL-revASPM-16
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46-CAAL-revASPM-16
Length_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46-CAAL-revASPM-16
Length_like,0,0,0,17.4884,0,7.46276,0,0,0,0,48.2717,48.9826,0,0,32.5321,0,0,46-CAAL-revASPM-16
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,46-CAAL-revASPM-16
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46-CAAL-revASPM-16
Age_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46-CAAL-revASPM-16
Age_like,0,0,0,0,0,0,0,0,0,0.0331818,0.0456618,0,0.0242613,0,0,0,0,46-CAAL-revASPM-16
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,46-CAAL-revASPM-16
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46-CAAL-revASPM-16
SizeFreq_lambda:_1,,,0,0,,,0,0,,0,0,,,,,,1,46-CAAL-revASPM-16
SizeFreq_like:_1,9.09004,,183.362,47.2295,,,713.855,318.481,,75.7802,92.5012,,,,,,9.09004,46-CAAL-revASPM-16
