"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 11425.8 557.796 NA NA
"SSB_Initial" "SSB_Initial" 11425.8 557.796 NA NA
"SSB_1952" "SSB_1952" 11756.4 990.158 NA NA
"SSB_1953" "SSB_1953" 11859.6 982.475 NA NA
"SSB_1954" "SSB_1954" 10852.7 972.531 NA NA
"SSB_1955" "SSB_1955" 5510.13 1038.54 NA NA
"SSB_1956" "SSB_1956" 4575.79 901.504 NA NA
"SSB_1957" "SSB_1957" 4420.43 823.751 NA NA
"SSB_1958" "SSB_1958" 4405.36 795.543 NA NA
"SSB_1959" "SSB_1959" 3491.26 740.195 NA NA
"SSB_1960" "SSB_1960" 3287.35 708.759 NA NA
"SSB_1961" "SSB_1961" 3172.75 684.627 NA NA
"SSB_1962" "SSB_1962" 2260.36 610.525 NA NA
"SSB_1963" "SSB_1963" 1928.52 538.534 NA NA
"SSB_1964" "SSB_1964" 1581.73 479.579 NA NA
"SSB_1965" "SSB_1965" 1990 526.346 NA NA
"SSB_1966" "SSB_1966" 2030.07 557.706 NA NA
"SSB_1967" "SSB_1967" 1725.26 568.905 NA NA
"SSB_1968" "SSB_1968" 2159.44 598.251 NA NA
"SSB_1969" "SSB_1969" 2681.59 642.71 NA NA
"SSB_1970" "SSB_1970" 3103.05 674.136 NA NA
"SSB_1971" "SSB_1971" 2381 595.623 NA NA
"SSB_1972" "SSB_1972" 1719.62 479.534 NA NA
"SSB_1973" "SSB_1973" 1531.97 407.766 NA NA
"SSB_1974" "SSB_1974" 1471.84 396.162 NA NA
"SSB_1975" "SSB_1975" 1575.28 412.315 NA NA
"SSB_1976" "SSB_1976" 1784.19 421.761 NA NA
"SSB_1977" "SSB_1977" 1862.91 427.253 NA NA
"SSB_1978" "SSB_1978" 2335.13 439.949 NA NA
"SSB_1979" "SSB_1979" 2104.84 397.615 NA NA
"SSB_1980" "SSB_1980" 2007.97 389.703 NA NA
"SSB_1981" "SSB_1981" 2561.12 380.736 NA NA
"SSB_1982" "SSB_1982" 2154.16 340.419 NA NA
"SSB_1983" "SSB_1983" 1666.94 308.051 NA NA
"SSB_1984" "SSB_1984" 1807.34 312.08 NA NA
"SSB_1985" "SSB_1985" 1815.16 308.493 NA NA
"SSB_1986" "SSB_1986" 1636.97 294.592 NA NA
"SSB_1987" "SSB_1987" 1554.53 271.793 NA NA
"SSB_1988" "SSB_1988" 1430.7 289.211 NA NA
"SSB_1989" "SSB_1989" 1418.35 306.088 NA NA
"SSB_1990" "SSB_1990" 1318.47 285.91 NA NA
"SSB_1991" "SSB_1991" 1379.59 294.295 NA NA
"SSB_1992" "SSB_1992" 1506.46 318.033 NA NA
"SSB_1993" "SSB_1993" 1757.58 357.052 NA NA
"SSB_1994" "SSB_1994" 1908.95 396.104 NA NA
"SSB_1995" "SSB_1995" 1649.22 365.662 NA NA
"SSB_1996" "SSB_1996" 1756.35 338.996 NA NA
"SSB_1997" "SSB_1997" 1833.97 338.545 NA NA
"SSB_1998" "SSB_1998" 2092.12 358.952 NA NA
"SSB_1999" "SSB_1999" 2298.69 382.954 NA NA
"SSB_2000" "SSB_2000" 2146.07 399.907 NA NA
"SSB_2001" "SSB_2001" 2395.04 420.379 NA NA
"SSB_2002" "SSB_2002" 2503.32 390.666 NA NA
"SSB_2003" "SSB_2003" 2129.39 333.334 NA NA
"SSB_2004" "SSB_2004" 1678.89 286.846 NA NA
