id,Label,values,lambdas
11-CAAL-no-ageerr,TOTAL,831.152,
11-CAAL-no-ageerr,Catch,0.537067,
11-CAAL-no-ageerr,Equil_catch,0,
11-CAAL-no-ageerr,Survey,-25.5101,
11-CAAL-no-ageerr,Length_comp,111.237,
11-CAAL-no-ageerr,Age_comp,0.197525,
11-CAAL-no-ageerr,SizeFreq,751.504,
11-CAAL-no-ageerr,Recruitment,-7.11263,1
11-CAAL-no-ageerr,InitEQ_Regime,0,1
11-CAAL-no-ageerr,Forecast_Recruitment,0.269026,1
11-CAAL-no-ageerr,Parm_priors,0,1
11-CAAL-no-ageerr,Parm_softbounds,0.030568,
11-CAAL-no-ageerr,Parm_devs,0,1
11-CAAL-no-ageerr,Crash_Pen,0,1
