Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25-mls-base-1979-corrected
Catch_like,3.75327e-06,1.36723e-07,5.75481e-07,2.03239e-07,2.42603e-08,1.36496e-07,1.92613e-07,6.74409e-07,5.40044e-07,1.65439e-07,9.26193e-08,1.36723e-07,5.88229e-07,1.45109e-07,1.41883e-07,0,25-mls-base-1979-corrected
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25-mls-base-1979-corrected
Init_equ_like,4.66156,0,4.66156,0,0,0,0,0,0,0,0,0,0,0,0,0,25-mls-base-1979-corrected
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25-mls-base-1979-corrected
Surv_like,86.4522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4522,25-mls-base-1979-corrected
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,25-mls-base-1979-corrected
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-mls-base-1979-corrected
Length_lambda,,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,25-mls-base-1979-corrected
Length_like,14047.2,150.707,362.612,161.11,0,110.126,1449.63,799.362,11.4127,0,234.277,3732.93,6209.35,34.3264,695.556,95.809,25-mls-base-1979-corrected
Length_N_use,,25,16,23,0,17,42,44,1,0,20,84,113,2,50,23,25-mls-base-1979-corrected
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-mls-base-1979-corrected
SizeFreq_lambda:_1,,1,1,1,,,1,1,,1,1,,,,,1,25-mls-base-1979-corrected
SizeFreq_like:_1,19427.6,12.8585,1009.4,405.626,,,14334.8,2205.64,,617.198,758.522,,,,,83.4975,25-mls-base-1979-corrected
