Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23-CAAL-2sex
Catch_like,0.326006,0.00218278,0.000638561,0.00530272,0.00384482,0.000506132,0.00031552,0.000380933,0.000301463,0.000272836,0.00208131,0.000261767,0.00170187,0.000484996,0.000146923,0.307584,0,23-CAAL-2sex
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23-CAAL-2sex
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23-CAAL-2sex
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23-CAAL-2sex
Surv_like,-27.3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.3106,23-CAAL-2sex
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,23-CAAL-2sex
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23-CAAL-2sex
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,23-CAAL-2sex
Length_like,104.981,0,0,13.882,0,6.06379,0,0,0,0,19.6567,38.0745,0,0,27.3039,0,0,23-CAAL-2sex
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,23-CAAL-2sex
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23-CAAL-2sex
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,23-CAAL-2sex
Age_like,0.137331,0,0,0,0,0,0,0,0,0.0367867,0.0669869,0,0.0335574,0,0,0,0,23-CAAL-2sex
Age_N_use,,0,0,0,0,0,0,0,0,23,33,0,24,0,0,0,0,23-CAAL-2sex
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23-CAAL-2sex
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,23-CAAL-2sex
SizeFreq_like:_1,275.717,,23.1179,22.7423,,,28.9495,98.7204,,39.3126,57.7281,,,,,,5.14644,23-CAAL-2sex
