id,Count,Yr,Sex,Platoon,A1,A2,L_a_A1,L_a_A2,K,A_a_L0,Linf,CVmin,CVmax,natM_amin,natM_max,M_age0,M_nages,WtLen1,WtLen2,Mat1,Mat2,Fec1,Fec2
23-CAAL-2sex,1,1952,1,1,0,10,67.9476,222.233,0.527912,-0.688301,223.023,9.9314,11.0517,0,0,0.707867,0.36,5.39942e-07,3.58378,181.205,-0.197458,1,1
23-CAAL-2sex,2,1952,2,2,0,10,5,215.59,0.627175,-0.0373444,215.989,9.9314,11.0517,0,0,0.707867,0.36,5.39942e-07,3.58378,0,0,0,0
