Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21-CAAL-NZrecwtQtr
Catch_like,0.763987,0.000719402,0.000467856,0.00182563,0.0011196,0.000169934,0.000213043,0.000268233,0.000212359,0.000221385,0.00219793,9.87539e-05,0.000820632,0.000380989,8.28269e-05,0.755189,0,21-CAAL-NZrecwtQtr
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21-CAAL-NZrecwtQtr
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-CAAL-NZrecwtQtr
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21-CAAL-NZrecwtQtr
Surv_like,-28.1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.1903,21-CAAL-NZrecwtQtr
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21-CAAL-NZrecwtQtr
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-CAAL-NZrecwtQtr
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,21-CAAL-NZrecwtQtr
Length_like,107.961,0,0,14.049,0,6.41235,0,0,0,0,20.1164,39.9833,0,0,27.4001,0,0,21-CAAL-NZrecwtQtr
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,21-CAAL-NZrecwtQtr
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-CAAL-NZrecwtQtr
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,21-CAAL-NZrecwtQtr
Age_like,0.108941,0,0,0,0,0,0,0,0,0.0344798,0.0482026,0,0.0262587,0,0,0,0,21-CAAL-NZrecwtQtr
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,21-CAAL-NZrecwtQtr
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-CAAL-NZrecwtQtr
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,21-CAAL-NZrecwtQtr
SizeFreq_like:_1,799.763,,85.5579,32.9785,,,333.272,186.653,,54.8447,98.8601,,,,,,7.59673,21-CAAL-NZrecwtQtr
