Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41-CAAL-revASPM-11
Catch_like,0.0674524,0.00333806,0.000517816,0.00822251,0.00610166,0.000226727,0.000220016,0.000277123,0.00022908,0.000278225,0.003111,0.000123276,0.00104746,0.00044081,8.46763e-05,0.043234,0,41-CAAL-revASPM-11
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41-CAAL-revASPM-11
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41-CAAL-revASPM-11
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41-CAAL-revASPM-11
Surv_like,-30.9362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.9362,41-CAAL-revASPM-11
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41-CAAL-revASPM-11
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41-CAAL-revASPM-11
Length_lambda,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41-CAAL-revASPM-11
Length_like,37.0394,0,0,14.3328,0,6.33616,0,0,0,0,22.8591,37.0394,0,0,28.6141,0,0,41-CAAL-revASPM-11
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,41-CAAL-revASPM-11
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41-CAAL-revASPM-11
Age_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41-CAAL-revASPM-11
Age_like,0,0,0,0,0,0,0,0,0,0.0355336,0.0500563,0,0.0264129,0,0,0,0,41-CAAL-revASPM-11
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,41-CAAL-revASPM-11
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41-CAAL-revASPM-11
SizeFreq_lambda:_1,,,0,0,,,0,0,,0,0,,,,,,0,41-CAAL-revASPM-11
SizeFreq_like:_1,0,,94.861,34.4771,,,399.167,208.113,,58.4525,60.9491,,,,,,8.58218,41-CAAL-revASPM-11
