"Num" "Label" "Value" "Active_Cnt" "Phase" "Min" "Max" "Init" "Used" "Status" "Parm_StDev" "Gradient" "Pr_type" "Prior" "Pr_SD" "Pr_Like" "Value_again" "Value-1.96*SD" "Value+1.96*SD" "V_1%" "V_10%" "V_20%" "V_30%" "V_40%" "V_50%" "V_60%" "V_70%" "V_80%" "V_90%" "V_99%" "P_val" "P_lowCI" "P_hiCI" "P_1%" "P_10%" "P_20%" "P_30%" "P_40%" "P_50%" "P_60%" "P_70%" "P_80%" "P_90%" "P_99%"
"SR_sigmaR" 16 "SR_sigmaR" 0.2 NA -4 0.05 1.9 0.2 0.2 NA NA NA "Normal" 0.2 1000 0 0.2 0.2 0.2 0.0685 0.235 0.42 0.605 0.79 0.975 1.16 1.345 1.53 1.715 1.8815 0 0 0 8.64613e-09 6.125e-10 2.42e-08 8.20125e-08 1.7405e-07 3.00312e-07 4.608e-07 6.55512e-07 8.8445e-07 1.14761e-06 1.41372e-06
"SR_regime" 17 "SR_regime" 0 NA -1 -4 4 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_autocorr" 18 "SR_autocorr" 0 NA -1 0 0 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_10" 19 "Early_InitAge_10" 0.0041241 5 2 -5 5 0 0 "act" 0.199922 9.25891e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_9" 20 "Early_InitAge_9" 0.00211741 6 2 -5 5 0 0 "act" 0.200087 1.05862e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_8" 21 "Early_InitAge_8" 0.00343181 7 2 -5 5 0 0 "act" 0.200084 -1.21052e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_7" 22 "Early_InitAge_7" 0.00588459 8 2 -5 5 0 0 "act" 0.200076 -2.30314e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_6" 23 "Early_InitAge_6" 0.0100772 9 2 -5 5 0 0 "act" 0.20008 2.52713e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_5" 24 "Early_InitAge_5" 0.0176633 10 2 -5 5 0 0 "act" 0.200139 2.46967e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_4" 25 "Early_InitAge_4" 0.0299458 11 2 -5 5 0 0 "act" 0.199895 -2.2559e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_3" 26 "Early_InitAge_3" 0.0376865 12 2 -5 5 0 0 "act" 0.198079 9.86778e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_2" 27 "Early_InitAge_2" 0.0501357 13 2 -5 5 0 0 "act" 0.195438 8.68737e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_1" 28 "Early_InitAge_1" 0.0903976 14 2 -5 5 0 0 "act" 0.190378 -5.99018e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1979" 29 "Main_RecrDev_1979" 0.0962464 15 1 -5 5 0 0 "act" 0.183824 -2.03399e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1980" 30 "Main_RecrDev_1980" 0.0591915 16 1 -5 5 0 0 "act" 0.180343 6.90698e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1981" 31 "Main_RecrDev_1981" -0.0762761 17 1 -5 5 0 0 "act" 0.1791 1.70345e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1982" 32 "Main_RecrDev_1982" -0.0116439 18 1 -5 5 0 0 "act" 0.179084 5.34206e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1983" 33 "Main_RecrDev_1983" -0.166409 19 1 -5 5 0 0 "act" 0.175583 -1.25452e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1984" 34 "Main_RecrDev_1984" -0.200262 20 1 -5 5 0 0 "act" 0.172768 3.26977e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1985" 35 "Main_RecrDev_1985" -0.183174 21 1 -5 5 0 0 "act" 0.174134 -8.72216e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1986" 36 "Main_RecrDev_1986" 0.102427 22 1 -5 5 0 0 "act" 0.193737 -2.25393e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1987" 37 "Main_RecrDev_1987" 0.267116 23 1 -5 5 0 0 "act" 0.199131 -1.74723e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1988" 38 "Main_RecrDev_1988" 0.0361571 24 1 -5 5 0 0 "act" 0.19158 -8.13799e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1989" 39 "Main_RecrDev_1989" -0.00380638 25 1 -5 5 0 0 "act" 0.19029 -1.79689e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1990" 40 "Main_RecrDev_1990" 0.0112386 26 1 -5 5 0 0 "act" 0.192543 1.21154e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1991" 41 "Main_RecrDev_1991" 0.0470751 27 1 -5 5 0 0 "act" 0.193617 2.78054e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1992" 42 "Main_RecrDev_1992" 0.0550896 28 1 -5 5 0 0 "act" 0.193243 2.00494e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1993" 43 "Main_RecrDev_1993" 0.0284403 29 1 -5 5 0 0 "act" 0.192229 -6.45867e-08 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1994" 44 "Main_RecrDev_1994" 0.0362509 30 1 -5 5 0 0 "act" 0.191983 1.5334e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1995" 45 "Main_RecrDev_1995" 0.190318 31 1 -5 5 0 0 "act" 0.205871 1.08951e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1996" 46 "Main_RecrDev_1996" 0.634314 32 1 -5 5 0 0 "act" 0.155492 1.03495e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1997" 47 "Main_RecrDev_1997" 0.00585516 33 1 -5 5 0 0 "act" 0.165083 -1.19614e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1998" 48 "Main_RecrDev_1998" 0.301831 34 1 -5 5 0 0 "act" 0.140072 1.01828e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1999" 49 "Main_RecrDev_1999" -0.242367 35 1 -5 5 0 0 "act" 0.162416 -4.61806e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2000" 50 "Main_RecrDev_2000" -0.553142 36 1 -5 5 0 0 "act" 0.153887 1.76074e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2001" 51 "Main_RecrDev_2001" 0.16305 37 1 -5 5 0 0 "act" 0.135875 -7.10291e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2002" 52 "Main_RecrDev_2002" -0.152409 38 1 -5 5 0 0 "act" 0.168094 -1.14797e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2003" 53 "Main_RecrDev_2003" 0.111836 39 1 -5 5 0 0 "act" 0.185528 -2.36527e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2004" 54 "Main_RecrDev_2004" 0.12087 40 1 -5 5 0 0 "act" 0.18825 -1.54965e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2005" 55 "Main_RecrDev_2005" -0.0551048 41 1 -5 5 0 0 "act" 0.179523 -2.19811e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2006" 56 "Main_RecrDev_2006" 0.09153 42 1 -5 5 0 0 "act" 0.182693 -1.17844e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2007" 57 "Main_RecrDev_2007" -0.0564726 43 1 -5 5 0 0 "act" 0.181117 2.32405e-08 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2008" 58 "Main_RecrDev_2008" -0.172513 44 1 -5 5 0 0 "act" 0.171738 2.48454e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2009" 59 "Main_RecrDev_2009" -0.210571 45 1 -5 5 0 0 "act" 0.170427 4.28161e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2010" 60 "Main_RecrDev_2010" -0.206244 46 1 -5 5 0 0 "act" 0.164311 -1.52489e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2011" 61 "Main_RecrDev_2011" -0.181385 47 1 -5 5 0 0 "act" 0.167476 -2.28594e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2012" 62 "Main_RecrDev_2012" -0.0974859 48 1 -5 5 0 0 "act" 0.161701 2.89193e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2013" 63 "Main_RecrDev_2013" 0.0154399 49 1 -5 5 0 0 "act" 0.145453 -5.91609e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2014" 64 "Main_RecrDev_2014" -0.156352 50 1 -5 5 0 0 "act" 0.148129 9.9686e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2015" 65 "Main_RecrDev_2015" 0.00661401 51 1 -5 5 0 0 "act" 0.138769 6.22529e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2016" 66 "Main_RecrDev_2016" -0.115425 52 1 -5 5 0 0 "act" 0.143728 -2.42335e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2017" 67 "Main_RecrDev_2017" -0.155267 53 1 -5 5 0 0 "act" 0.145567 1.28822e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2018" 68 "Main_RecrDev_2018" -0.162134 54 1 -5 5 0 0 "act" 0.15114 1.2063e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2019" 69 "Main_RecrDev_2019" 0.354868 55 1 -5 5 0 0 "act" 0.162476 3.89609e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2020" 70 "Main_RecrDev_2020" 0.454939 56 1 -5 5 0 0 "act" 0.169148 -5.92908e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2021" 71 "Main_RecrDev_2021" -0.0322565 57 1 -5 5 0 0 "act" 0.180866 -4.74538e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Late_RecrDev_2022" 72 "Late_RecrDev_2022" 0.0402533 58 9 -5 5 0 0 "act" 0.198971 2.29132e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ForeRecr_2023" 73 "ForeRecr_2023" 0 59 9 -5 5 0 0 "act" 0.2 0 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"InitF_seas_1_flt_2F02_LL.JP.2" 74 "InitF_seas_1_flt_2F02_LL.JP.2" 0.063 NA -5 0 5 0.063 0.063 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"InitF_seas_2_flt_2F02_LL.JP.2" 75 "InitF_seas_2_flt_2F02_LL.JP.2" 0.063 NA -5 0 5 0.063 0.063 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"InitF_seas_3_flt_2F02_LL.JP.2" 76 "InitF_seas_3_flt_2F02_LL.JP.2" 0.063 NA -5 0 5 0.063 0.063 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"InitF_seas_4_flt_2F02_LL.JP.2" 77 "InitF_seas_4_flt_2F02_LL.JP.2" 0.063 NA -5 0 5 0.063 0.063 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LnQ_base_S01_INDEX.1-4(15)" 78 "LnQ_base_S01_INDEX.1-4(15)" -4.80062 NA -1 -25 25 -5.44532 -5.44532 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Q_extraSD_S01_INDEX.1-4(15)" 79 "Q_extraSD_S01_INDEX.1-4(15)" 0.190777 NA -1 0 1 0.190777 0.190777 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_peak_F01_LL.JP.1(1)" 80 "Size_DblN_peak_F01_LL.JP.1(1)" 176.54 60 2 45 325 175.466 175.466 "OK" 4.9245 -2.27021e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_top_logit_F01_LL.JP.1(1)" 81 "Size_DblN_top_logit_F01_LL.JP.1(1)" -10 NA -3 -10 10 -10 -10 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_ascend_se_F01_LL.JP.1(1)" 82 "Size_DblN_ascend_se_F01_LL.JP.1(1)" 7.54974 61 4 -10 10 7.25927 7.25927 "OK" 0.246311 -4.05811e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_descend_se_F01_LL.JP.1(1)" 83 "Size_DblN_descend_se_F01_LL.JP.1(1)" 4.26628 62 5 -10 10 5.14734 5.14734 "OK" 1.30034 -1.57948e-08 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_start_logit_F01_LL.JP.1(1)" 84 "Size_DblN_start_logit_F01_LL.JP.1(1)" -999 NA -4 -999 9 -999 -999 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_end_logit_F01_LL.JP.1(1)" 85 "Size_DblN_end_logit_F01_LL.JP.1(1)" -1.14065 63 3 -999 9 -1.00126 -1.00126 "OK" 0.500938 -9.39545e-10 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_peak_F02_LL.JP.2(2)" 86 "Size_DblN_peak_F02_LL.JP.2(2)" 192.204 64 2 45 325 196.432 196.432 "OK" 2.62434 1.52558e-06 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_top_logit_F02_LL.JP.2(2)" 87 "Size_DblN_top_logit_F02_LL.JP.2(2)" 0.0483999 65 3 -10 10 0.108229 0.108229 "OK" 104.521 6.31537e-09 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_ascend_se_F02_LL.JP.2(2)" 88 "Size_DblN_ascend_se_F02_LL.JP.2(2)" 5.58554 66 4 -10 10 6.93494 6.93494 "OK" 0.26556 1.39254e-06 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_descend_se_F02_LL.JP.2(2)" 89 "Size_DblN_descend_se_F02_LL.JP.2(2)" 0.00015134 67 5 -10 10 0.00147782 0.00147782 "OK" 223.63 -1.15454e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_start_logit_F02_LL.JP.2(2)" 90 "Size_DblN_start_logit_F02_LL.JP.2(2)" -999 NA -4 -999 9 -999 -999 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_end_logit_F02_LL.JP.2(2)" 91 "Size_DblN_end_logit_F02_LL.JP.2(2)" -999 NA -3 -999 9 -999 -999 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_peak_F03_LL.JP.3(3)" 92 "Size_DblN_peak_F03_LL.JP.3(3)" 199.247 68 2 45 325 192.025 192.025 "OK" 3.4116 -8.69815e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_top_logit_F03_LL.JP.3(3)" 93 "Size_DblN_top_logit_F03_LL.JP.3(3)" -10 NA -3 -10 10 -10 -10 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Size_DblN_ascend_se_F03_LL.JP.3(3)" 94 "Size_DblN_ascend_se_F03_LL.JP.3(3)" 6.52516 69 4 -10 10 6.14855 6.14855 "OK" 0.271781 2.33882e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
