Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59-CAAL-NZdblnorm-99
Catch_like,0.865784,0.000531106,0.000390109,0.00117207,0.000795814,0.000117927,0.000190984,0.000229703,0.000182582,0.000165648,0.00114222,6.93758e-05,0.000579698,0.000248887,7.76894e-05,0.85989,0,59-CAAL-NZdblnorm-99
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59-CAAL-NZdblnorm-99
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59-CAAL-NZdblnorm-99
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59-CAAL-NZdblnorm-99
Surv_like,-28.9994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.9994,59-CAAL-NZdblnorm-99
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,59-CAAL-NZdblnorm-99
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59-CAAL-NZdblnorm-99
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,59-CAAL-NZdblnorm-99
Length_like,107.488,0,0,13.828,0,6.39382,0,0,0,0,20.6402,39.5789,0,0,27.0467,0,0,59-CAAL-NZdblnorm-99
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,59-CAAL-NZdblnorm-99
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59-CAAL-NZdblnorm-99
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,59-CAAL-NZdblnorm-99
Age_like,0.106877,0,0,0,0,0,0,0,0,0.0337339,0.0469962,0,0.0261473,0,0,0,0,59-CAAL-NZdblnorm-99
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,59-CAAL-NZdblnorm-99
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59-CAAL-NZdblnorm-99
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,59-CAAL-NZdblnorm-99
SizeFreq_like:_1,757.041,,85.917,32.7974,,,333.357,186.777,,55.0982,55.6901,,,,,,7.40454,59-CAAL-NZdblnorm-99
