Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,09-relax-growth-v2
Catch_like,1.75034,0.0732464,0.00128997,0.223769,0.121959,0.00299398,0.00141934,0.00148962,0.00115247,0.000757963,0.00145287,0.00171463,0.00777954,0.0020706,0.000540796,1.3087,0,09-relax-growth-v2
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,09-relax-growth-v2
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-relax-growth-v2
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,09-relax-growth-v2
Surv_like,-28.4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.4734,09-relax-growth-v2
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,09-relax-growth-v2
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-relax-growth-v2
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,09-relax-growth-v2
Length_like,110.351,0,0,11.4848,0,5.91797,0,0,0,0,27.7347,40.0867,0,0,25.1268,0,0,09-relax-growth-v2
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,09-relax-growth-v2
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-relax-growth-v2
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,09-relax-growth-v2
SizeFreq_like:_1,896.611,,147.156,33.3412,,,351.575,187.694,,62.1553,107.572,,,,,,7.11689,09-relax-growth-v2
