id,Label,values,lambdas
09-relax-growth-v2,TOTAL,967.708,
09-relax-growth-v2,Catch,1.75034,
09-relax-growth-v2,Equil_catch,0,
09-relax-growth-v2,Survey,-28.4741,
09-relax-growth-v2,Length_comp,110.351,
09-relax-growth-v2,SizeFreq,896.612,
09-relax-growth-v2,Recruitment,-12.5613,1
09-relax-growth-v2,InitEQ_Regime,0,1
09-relax-growth-v2,Forecast_Recruitment,3.9443e-29,1
09-relax-growth-v2,Parm_priors,0,1
09-relax-growth-v2,Parm_softbounds,0.0299643,
09-relax-growth-v2,Parm_devs,0,1
09-relax-growth-v2,Crash_Pen,0,1
