"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_1977" "Recr_1977" 321.278 56.4173 NA NA
"Recr_1978" "Recr_1978" 333.179 48.7726 NA NA
"Recr_1979" "Recr_1979" 245.671 42.854 NA NA
"Recr_1980" "Recr_1980" 276.443 43.7104 NA NA
"Recr_1981" "Recr_1981" 234.571 36.5895 NA NA
"Recr_1982" "Recr_1982" 205.096 31.6926 NA NA
"Recr_1983" "Recr_1983" 172.611 30.9578 NA NA
"Recr_1984" "Recr_1984" 231.212 46.4069 NA NA
"Recr_1985" "Recr_1985" 364.602 55.9096 NA NA
"Recr_1986" "Recr_1986" 262.111 45.625 NA NA
"Recr_1987" "Recr_1987" 227.228 42.4181 NA NA
"Recr_1988" "Recr_1988" 232.884 46.5043 NA NA
"Recr_1989" "Recr_1989" 273.089 53.2528 NA NA
"Recr_1990" "Recr_1990" 295.83 54.6401 NA NA
"Recr_1991" "Recr_1991" 283.227 50.4924 NA NA
"Recr_1992" "Recr_1992" 252.303 43.6087 NA NA
"Recr_1993" "Recr_1993" 253.514 50.1421 NA NA
"Recr_1994" "Recr_1994" 526.123 65.0089 NA NA
"Recr_1995" "Recr_1995" 296.527 42.7974 NA NA
"Recr_1996" "Recr_1996" 412.612 61.5458 NA NA
"Recr_1997" "Recr_1997" 350.72 37.1954 NA NA
"Recr_1998" "Recr_1998" 183.308 26.9348 NA NA
"Recr_1999" "Recr_1999" 374.375 44.5057 NA NA
"Recr_2000" "Recr_2000" 246.937 36.7452 NA NA
"Recr_2001" "Recr_2001" 263.999 43.2862 NA NA
"Recr_2002" "Recr_2002" 265.951 44.033 NA NA
"Recr_2003" "Recr_2003" 223.328 38.163 NA NA
"Recr_2004" "Recr_2004" 253.889 45.1792 NA NA
"Recr_2005" "Recr_2005" 246.891 41.3106 NA NA
"Recr_2006" "Recr_2006" 222.452 34.333 NA NA
"Recr_2007" "Recr_2007" 204.747 31.5633 NA NA
"Recr_2008" "Recr_2008" 196.75 28.7712 NA NA
"Recr_2009" "Recr_2009" 187.475 26.4865 NA NA
"Recr_2010" "Recr_2010" 179.632 25.5514 NA NA
"Recr_2011" "Recr_2011" 212.089 25.7805 NA NA
"Recr_2012" "Recr_2012" 171.759 22.1383 NA NA
"Recr_2013" "Recr_2013" 182.137 24.4821 NA NA
"Recr_2014" "Recr_2014" 175.695 22.7824 NA NA
"Recr_2015" "Recr_2015" 165.645 21.1298 NA NA
"Recr_2016" "Recr_2016" 138.156 22.3098 NA NA
"Recr_2017" "Recr_2017" 195.802 40.1593 NA NA
"Recr_2018" "Recr_2018" 310.302 66.218 NA NA
"Recr_2019" "Recr_2019" 214.608 46.0992 NA NA
"Recr_2020" "Recr_2020" 201.068 49.5892 NA NA
"Recr_2021" "Recr_2021" 203.536 53.4655 NA NA
"Recr_2022" "Recr_2022" 217.878 55.1832 NA NA
