Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57-CAAL-NZdblnorm-5
Catch_like,0.817529,0.000613786,0.000448672,0.00165928,0.000995334,0.000161017,0.000210324,0.000261968,0.000207411,0.000213732,0.00196019,8.78187e-05,0.000752358,0.000362505,8.567e-05,0.809509,0,57-CAAL-NZdblnorm-5
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57-CAAL-NZdblnorm-5
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57-CAAL-NZdblnorm-5
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57-CAAL-NZdblnorm-5
Surv_like,-28.3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.3413,57-CAAL-NZdblnorm-5
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,57-CAAL-NZdblnorm-5
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57-CAAL-NZdblnorm-5
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,57-CAAL-NZdblnorm-5
Length_like,108.474,0,0,14.0348,0,6.37617,0,0,0,0,20.8294,39.8706,0,0,27.3629,0,0,57-CAAL-NZdblnorm-5
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,57-CAAL-NZdblnorm-5
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57-CAAL-NZdblnorm-5
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,57-CAAL-NZdblnorm-5
Age_like,0.108823,0,0,0,0,0,0,0,0,0.0343627,0.0481069,0,0.0263531,0,0,0,0,57-CAAL-NZdblnorm-5
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,57-CAAL-NZdblnorm-5
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57-CAAL-NZdblnorm-5
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,57-CAAL-NZdblnorm-5
SizeFreq_like:_1,756.674,,85.716,32.9738,,,333.403,186.731,,54.8573,55.4293,,,,,,7.56322,57-CAAL-NZdblnorm-5
