id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,60,0.0146922,9.96711e-05,0.0145925289,43.0483,47,4.7
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,65,9.96711e-05,9.96711e-05,0,43.0483,47,4.7
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,70,9.96711e-05,9.96712e-05,-1.00000000006996e-10,43.0483,47,4.7
57-CAAL-NZdblnorm-5,3,F03_LL.JP.3,yes,LEN,1,75,9.96711e-05,9.96713e-05,-2.00000000000439e-10,43.0483,47,4.7
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,120,0.1832969618,0.07473,0.1085669618,156.6315,95.127137,9.5127137
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,125,0.1765030529,0.06966048,0.1068425729,173.9606,100.565407,10.0565407
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,130,0.1857569337,0.08599462,0.0997623137,173.9606,100.565407,10.0565407
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,135,0.390516213,0.16661867,0.223897543,189.3812,103.484037,10.3484037
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,140,0.1679879537,0.2392235,-0.0712355463,189.3812,103.484037,10.3484037
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,145,0.2383778531,0.3869637,-0.1485858469,189.3812,103.484037,10.3484037
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,150,0.4044531034,0.8411984,-0.4367452966,220.7644,106.951927,10.6951927
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,155,0.7068341732,1.5509852,-0.8441510268,251.77191,122.463067,12.2463067
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,160,0.6351043332,1.2012961,-0.5661917668,251.77191,122.463067,12.2463067
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,165,1.4288749102,1.6796447,-0.2507697898,259.54772,123.583867,12.3583867
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,170,1.6256894615,1.5088804,0.1168090615,259.54772,123.583867,12.3583867
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,175,1.9269910621,2.1855841,-0.2585930379,261.18795,125.335637,12.5335637
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,180,1.7408372622,1.7384135,0.00242376219999985,261.18795,125.335637,12.5335637
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,185,2.3909153711,2.1957907,0.1951246711,261.18795,125.335637,12.5335637
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,190,0.954984462,1.0873644,-0.132379938,213.41345,107.25924,10.725924
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,195,0.639652884,0.7192798,-0.0796269159999999,213.41345,107.25924,10.725924
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,200,1.0764629411,0.5927401,0.4837228411,204.21865,105.65494,10.565494
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,205,0.3445104624,0.3020718,0.0424386624,172.83545,102.18705,10.218705
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,210,0.4881305533,0.1962418,0.2918887533,140.08315,61.96675,6.196675
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,215,0.2371958629,0.07316485,0.1640310129,95.80994,42.06235,4.206235
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,220,0.1561534533,0.04214091,0.1140125433,95.80994,42.06235,4.206235
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,225,0.1563563821,0.01809882,0.1382575621,94.16971,40.31058,4.031058
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,230,0.0054402237,0.005502703,-6.24793000000004e-05,67.5107,27.7313,2.77313
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,235,0.2476114217,0.002270462,0.2453409597,67.5107,27.7313,2.77313
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,240,0.0447115531,0.001114768,0.0435967851,67.5107,27.7313,2.77313
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,245,0.1175823621,0.000385264,0.1171970981,38.4781,5.98327,0.598327
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,250,0.0001993621,0.000211515,-1.21529e-05,30.09474,4.7685,0.47685
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,255,0.051578991,0.000201871,0.05137712,30.09474,4.7685,0.47685
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,260,9.9691e-05,9.98385e-05,-1.47499999999991e-07,23.2293,1.30775,0.130775
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,265,9.9691e-05,9.97106e-05,-1.95999999999888e-08,23.2293,1.30775,0.130775
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,270,0.0416376,9.96934e-05,0.0415379066,23.2293,1.30775,0.130775
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,95,0.1174084,0.000831952,0.116576448,15.2488,4.67552,0.467552
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,100,0.0770840621,0.001473451,0.0756106111,36.8208,5.228187,0.5228187
57-CAAL-NZdblnorm-5,5,F05_LL.TW.4,yes,LEN,1,105,0.0002991824,0.002912687,-0.0026135046,36.8208,5.228187,0.5228187
