"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_1977" "Recr_1977" 120.393 21.2276 NA NA
"Recr_1978" "Recr_1978" 147.971 21.9627 NA NA
"Recr_1979" "Recr_1979" 140.611 21.6634 NA NA
"Recr_1980" "Recr_1980" 147.962 18.4688 NA NA
"Recr_1981" "Recr_1981" 103.29 15.8302 NA NA
"Recr_1982" "Recr_1982" 119.644 16.847 NA NA
"Recr_1983" "Recr_1983" 96.1315 14.3106 NA NA
"Recr_1984" "Recr_1984" 97.2157 12.915 NA NA
"Recr_1985" "Recr_1985" 75.1505 11.988 NA NA
"Recr_1986" "Recr_1986" 99.7405 18.9188 NA NA
"Recr_1987" "Recr_1987" 163.464 22.1918 NA NA
"Recr_1988" "Recr_1988" 113.572 18.4296 NA NA
"Recr_1989" "Recr_1989" 98.1594 16.6698 NA NA
"Recr_1990" "Recr_1990" 95.5077 17.8486 NA NA
"Recr_1991" "Recr_1991" 114.775 22.1794 NA NA
"Recr_1992" "Recr_1992" 142.479 25.0954 NA NA
"Recr_1993" "Recr_1993" 145.026 24.5077 NA NA
"Recr_1994" "Recr_1994" 125.258 20.8856 NA NA
"Recr_1995" "Recr_1995" 115.624 20.5487 NA NA
"Recr_1996" "Recr_1996" 237.707 24.6874 NA NA
"Recr_1997" "Recr_1997" 136.075 16.926 NA NA
"Recr_1998" "Recr_1998" 190.044 21.5447 NA NA
"Recr_1999" "Recr_1999" 169.579 15.0057 NA NA
"Recr_2000" "Recr_2000" 86.3102 11.0786 NA NA
"Recr_2001" "Recr_2001" 178.542 17.6609 NA NA
"Recr_2002" "Recr_2002" 112.477 15.5447 NA NA
"Recr_2003" "Recr_2003" 123.565 18.1708 NA NA
"Recr_2004" "Recr_2004" 119.576 17.9325 NA NA
"Recr_2005" "Recr_2005" 93.8857 15.2518 NA NA
"Recr_2006" "Recr_2006" 116.338 18.7977 NA NA
"Recr_2007" "Recr_2007" 114.775 17.8773 NA NA
"Recr_2008" "Recr_2008" 105.592 15.3027 NA NA
"Recr_2009" "Recr_2009" 96.1184 14.0926 NA NA
"Recr_2010" "Recr_2010" 93.7228 12.7244 NA NA
"Recr_2011" "Recr_2011" 89.9633 11.9312 NA NA
"Recr_2012" "Recr_2012" 83.156 10.6354 NA NA
"Recr_2013" "Recr_2013" 98.1726 10.0091 NA NA
"Recr_2014" "Recr_2014" 78.1073 8.53367 NA NA
"Recr_2015" "Recr_2015" 81.4784 9.60068 NA NA
"Recr_2016" "Recr_2016" 82.1106 9.574 NA NA
