Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20-CAAL-1979-estInitF
Catch_like,4.94561e-13,1.67154e-14,2.54293e-14,2.29308e-14,3.98359e-15,1.91344e-14,2.78913e-14,2.29245e-14,1.77673e-14,7.868e-15,2.51978e-13,1.67154e-14,2.67815e-14,1.44259e-14,2.00152e-14,0,20-CAAL-1979-estInitF
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20-CAAL-1979-estInitF
Init_equ_like,1.6828e-13,0,1.6828e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,20-CAAL-1979-estInitF
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20-CAAL-1979-estInitF
Surv_like,-20.9143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.9143,20-CAAL-1979-estInitF
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,20-CAAL-1979-estInitF
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-CAAL-1979-estInitF
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,20-CAAL-1979-estInitF
Length_like,108.573,0,0,14.709,0,6.27059,0,0,0,0,20.9426,38.9474,0,0,27.7032,0,20-CAAL-1979-estInitF
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,20-CAAL-1979-estInitF
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-CAAL-1979-estInitF
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,20-CAAL-1979-estInitF
Age_like,0.114741,0,0,0,0,0,0,0,0,0.0379214,0.0535596,0,0.0232605,0,0,0,20-CAAL-1979-estInitF
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,20-CAAL-1979-estInitF
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-CAAL-1979-estInitF
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,1,20-CAAL-1979-estInitF
SizeFreq_like:_1,724.549,,91.4947,34.5845,,,339.015,185.098,,54.6992,15.0508,,,,,4.60739,20-CAAL-1979-estInitF
