"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SPRratio_1986" "SPRratio_1986" 3.51263e-05 0.000158056 -6326.63 0
"SPRratio_1987" "SPRratio_1987" 3.31202e-05 0.00014903 -6709.84 0
"SPRratio_1988" "SPRratio_1988" 4.2742e-05 0.000192327 -5199.25 0
"SPRratio_1989" "SPRratio_1989" 5.79901e-05 0.00026094 -3832.07 0
"SPRratio_1990" "SPRratio_1990" 3.83811e-05 0.000172706 -5789.96 0
"SPRratio_1991" "SPRratio_1991" 3.07522e-05 0.000138377 -7226.42 0
"SPRratio_1992" "SPRratio_1992" 2.90443e-05 0.000130692 -7651.38 0
"SPRratio_1993" "SPRratio_1993" 3.56861e-05 0.000160577 -6227.32 0
"SPRratio_1994" "SPRratio_1994" 5.84676e-05 0.000263083 -3800.85 0
"SPRratio_1995" "SPRratio_1995" 4.45859e-05 0.00020062 -4984.32 0
"SPRratio_1996" "SPRratio_1996" 3.98101e-05 0.000179131 -5582.28 0
"SPRratio_1997" "SPRratio_1997" 4.00567e-05 0.000180243 -5547.83 0
"SPRratio_1998" "SPRratio_1998" 5.89796e-05 0.000265391 -3767.81 0
"SPRratio_1999" "SPRratio_1999" 5.40859e-05 0.000243368 -4108.78 0
"SPRratio_2000" "SPRratio_2000" 4.8149e-05 0.000216654 -4615.44 0
"SPRratio_2001" "SPRratio_2001" 4.76641e-05 0.000214468 -4662.48 0
"SPRratio_2002" "SPRratio_2002" 5.26738e-05 0.000237011 -4218.99 0
"SPRratio_2003" "SPRratio_2003" 6.78721e-05 0.000305395 -3274.22 0
"SPRratio_2004" "SPRratio_2004" 5.54717e-05 0.000249602 -4006.16 0
"SPRratio_2005" "SPRratio_2005" 4.1277e-05 0.000185735 -5383.8 0
"SPRratio_2006" "SPRratio_2006" 3.53474e-05 0.000159054 -6286.96 0
"SPRratio_2007" "SPRratio_2007" 3.37956e-05 0.00015207 -6575.7 0
"SPRratio_2008" "SPRratio_2008" 4.09238e-05 0.000184144 -5430.31 0
"SPRratio_2009" "SPRratio_2009" 3.98073e-05 0.00017912 -5582.62 0
"SPRratio_2010" "SPRratio_2010" 4.03947e-05 0.000181762 -5501.47 0
"SPRratio_2011" "SPRratio_2011" 4.68654e-05 0.000210876 -4741.89 0
"SPRratio_2012" "SPRratio_2012" 4.59639e-05 0.00020682 -4834.9 0
"SPRratio_2013" "SPRratio_2013" 3.1632e-05 0.000142333 -7025.54 0
"SPRratio_2014" "SPRratio_2014" 4.50194e-05 0.000202572 -4936.29 0
