"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Recr_1977" "Recr_1977" 87.7116 14.0854 NA NA
"Recr_1978" "Recr_1978" 92.2939 14.4347 NA NA
"Recr_1979" "Recr_1979" 108.482 14.3393 NA NA
"Recr_1980" "Recr_1980" 109.64 13.7143 NA NA
"Recr_1981" "Recr_1981" 102.524 12.0311 NA NA
"Recr_1982" "Recr_1982" 76.1439 11.072 NA NA
"Recr_1983" "Recr_1983" 88.2647 11.5954 NA NA
"Recr_1984" "Recr_1984" 68.8097 9.58394 NA NA
"Recr_1985" "Recr_1985" 74.7681 9.76129 NA NA
"Recr_1986" "Recr_1986" 59.1591 8.905 NA NA
"Recr_1987" "Recr_1987" 87.6905 14.1394 NA NA
"Recr_1988" "Recr_1988" 109.653 14.8964 NA NA
"Recr_1989" "Recr_1989" 82.1434 13.4542 NA NA
"Recr_1990" "Recr_1990" 77.2889 13.5455 NA NA
"Recr_1991" "Recr_1991" 79.4916 14.7813 NA NA
"Recr_1992" "Recr_1992" 100.644 18.0528 NA NA
"Recr_1993" "Recr_1993" 108.441 18.8472 NA NA
"Recr_1994" "Recr_1994" 112.586 19.1025 NA NA
"Recr_1995" "Recr_1995" 94.2155 16.196 NA NA
"Recr_1996" "Recr_1996" 124.24 18.8088 NA NA
"Recr_1997" "Recr_1997" 184.411 19.3058 NA NA
"Recr_1998" "Recr_1998" 127.116 14.4051 NA NA
"Recr_1999" "Recr_1999" 149.985 14.8902 NA NA
"Recr_2000" "Recr_2000" 105.568 10.3108 NA NA
"Recr_2001" "Recr_2001" 91.6649 9.88224 NA NA
"Recr_2002" "Recr_2002" 113.921 12.6257 NA NA
"Recr_2003" "Recr_2003" 93.3337 14.1138 NA NA
"Recr_2004" "Recr_2004" 99.7934 15.6966 NA NA
"Recr_2005" "Recr_2005" 98.5714 15.0003 NA NA
"Recr_2006" "Recr_2006" 76.2362 12.385 NA NA
"Recr_2007" "Recr_2007" 99.284 15.9894 NA NA
