fleet,fleetname,type,area,units,selex,mirror,catch_start,catch_end,catch_kn,catch_mt,index_start,index_end,lencomp_start,lencomp_end,lencomp_nsamp,wcomp_start,wcomp_end,wcomp_nsamp
1,F01_LL.JP.1,1,1,2,24,0,1979,2022,0.419238888888889,21.7472974888889,,,-2019,-1993,99.5798077,-1989,-1979,10.28911
2,F02_LL.JP.2,1,1,2,24,0,-999,2022,1.07238711111111,94.1465774905555,,,-2020,-1991,431.66328,-1979,1994,7735.61477
3,F03_LL.JP.3,1,1,2,24,0,1979,2022,0.502933333333333,42.6102388333334,,,1991,2020,313.42835,1979,1998,973.76047
4,F04_LL.JP.4,1,1,2,24,0,1979,2022,0.0147333333333333,0.927552650555555,,,,,,,,
5,F05_LL.TW.4,1,1,2,5,4,1979,2022,0.197583333333333,12.4735486272222,,,2006,2022,125.335637,,,
6,F06_LL.AU.2,1,1,2,24,0,1987,2022,0.497188888888889,37.3374325111111,,,-2014,-1992,1290.26521,1997,2022,36337.7567
7,F07_LL.AU.3,1,1,2,24,0,1987,2022,0.267522222222222,20.7195659222222,,,-2015,-1991,1298.198227,1998,2022,9545.0276
8,F08_LL.NZ.3,1,1,2,5,7,1990,2022,0.07855,6.06159414111111,,,-2005,-2005,20.4811,,,
9,F09.REC.AU.3,1,1,2,24,0,1979,2022,0.01155,1.05000732222222,,,,,,1986,2010,1805
10,F10_REC.NZ.3,1,1,2,1,0,1979,2022,0.141938888888889,14.556175,,,1985,2018,1157,-2018,1987,15639
11,F11_LL.ALL.1,1,1,2,5,1,1979,2022,1.86656666666667,97.1760922222222,,,-2014,2022,6779.901165,,,
12,F12_LL.ALL.2,1,1,2,5,2,1979,2022,0.8776,77.1460970555556,,,-2022,-1994,14834.99467,,,
13,F13_LL.ALL.3,1,1,2,5,3,1979,2022,0.0490277777777778,4.15766289388889,,,-2015,-2011,22.34666,,,
14,F14_LL.ALL.4,1,1,2,5,4,1979,2022,0.66955,42.1351036944444,,,-2005,2022,683.436303,,,
15,S01_INDEX.1-4,3,1,2,24,0,,,,,1979,2022,-2022,-1991,177.227724,1979,1998,299.050912
