id,like_comp,fleet,phase,value,sizefreq_method
50-CAAL-oneFleet-07,1,7,1,1,1
50-CAAL-oneFleet-07,1,16,1,1,1
50-CAAL-oneFleet-07,4,7,1,1,1
50-CAAL-oneFleet-07,5,7,1,1,1
50-CAAL-oneFleet-07,7,7,1,1,1
50-CAAL-oneFleet-07,6,7,1,1,1
