Label,ALL,F01_LL.JP.1,F02_LL.JP.2,F03_LL.JP.3,F04_LL.JP.4,F05_LL.TW.4,F06_LL.AU.2,F07_LL.AU.3,F08_LL.NZ.3,F09.REC.AU.3,F10_REC.NZ.3,F11_LL.ALL.1,F12_LL.ALL.2,F13_LL.ALL.3,F14_LL.ALL.4,F16_LL.JP.2_early,S01_INDEX.1-4,id
Catch_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13-CAAL-noAgeerr-OGsd
Catch_like,0.813583,0.000642308,0.000448173,0.00161355,0.00102693,0.000156296,0.000208612,0.000259604,0.000205626,0.000211998,0.00211489,7.98305e-05,0.000747134,0.00035525,8.41146e-05,0.805429,0,13-CAAL-noAgeerr-OGsd
Init_equ_lambda,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13-CAAL-noAgeerr-OGsd
Init_equ_like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13-CAAL-noAgeerr-OGsd
Surv_lambda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13-CAAL-noAgeerr-OGsd
Surv_like,-28.3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.3488,13-CAAL-noAgeerr-OGsd
Surv_N_use,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,13-CAAL-noAgeerr-OGsd
Surv_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13-CAAL-noAgeerr-OGsd
Length_lambda,,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,13-CAAL-noAgeerr-OGsd
Length_like,108.387,0,0,14.0324,0,6.39509,0,0,0,0,20.209,40.3714,0,0,27.379,0,0,13-CAAL-noAgeerr-OGsd
Length_N_use,,0,0,23,0,17,0,0,0,0,20,48,0,0,41,0,0,13-CAAL-noAgeerr-OGsd
Length_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13-CAAL-noAgeerr-OGsd
Age_lambda,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13-CAAL-noAgeerr-OGsd
Age_like,0.143691,0,0,0,0,0,0,0,0,0.0498968,0.0606142,0,0.03318,0,0,0,0,13-CAAL-noAgeerr-OGsd
Age_N_use,,0,0,0,0,0,0,0,0,22,28,0,25,0,0,0,0,13-CAAL-noAgeerr-OGsd
Age_N_skip,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13-CAAL-noAgeerr-OGsd
SizeFreq_lambda:_1,,,1,1,,,1,1,,1,1,,,,,,1,13-CAAL-noAgeerr-OGsd
SizeFreq_like:_1,755.85,,85.7149,32.936,,,333.354,186.673,,54.8406,54.7708,,,,,,7.56018,13-CAAL-noAgeerr-OGsd
